request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
1013,BasicRequest,1,29640,29640,5937;-1;-1,2944;-1;-1,,,,,647.368264199565,10071.856,0:t_wait:304.65184202042656;t_drive:677.3682641995656;fare:1007,,,0,0,29944.651842020427,30622.02010621999,1007,0
913,BasicRequest,1,29640,29640,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:t_wait:451.0058960502611;t_drive:481.262937992542;fare:594,,,0,14,30392.64550643987,30946.05748340436,594,0
1581,BasicRequest,1,29640,29640,2950;-1;-1,2944;-1;-1,,,,,418.44447833296726,6394.414000000001,0:t_wait:555.9733946817832;t_drive:448.44447833296726;fare:639,,,0,14,30497.613005071395,30946.05748340436,639,0
1607,BasicRequest,1,29640,29640,2950;-1;-1,2944;-1;-1,,,,,418.44447833296726,6394.414000000001,0:t_wait:555.9733946817832;t_drive:448.44447833296726;fare:639,,,0,14,30497.613005071395,30946.05748340436,639,0
1303,BasicRequest,1,29640,29640,10068;-1;-1,2944;-1;-1,,,,,696.384730873262,11598.233999999997,0:t_wait:652.976952200228;t_drive:726.384730873262;fare:1159,,,0,12,30292.976952200235,31019.3616830735,1159,0
1379,BasicRequest,1,29640,29640,3013;-1;-1,2944;-1;-1,,,,,592.6384329904115,9171.830999999998,0:t_wait:643.2807026450828;t_drive:622.6384329904104;fare:917,,,0,13,30283.280702645076,31068.785215481294,917,0
1557,BasicRequest,1,29640,29640,3031;-1;-1,2944;-1;-1,,,,,522.0376548749421,8583.308,0:t_wait:846.7475606063526;t_drive:552.0376548749409;fare:858,,,0,13,30516.74756060635,31068.785215481294,858,0
1357,BasicRequest,1,29640,29640,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:t_wait:839.5181882292709;t_drive:589.2670272520227;fare:848,,,0,13,30479.518188229264,31068.785215481294,848,0
883,BasicRequest,1,29640,29640,10053;-1;-1,2944;-1;-1,,,,,694.1199287876337,12039.505,0:t_wait:643.3474805987498;t_drive:724.1199287876334;fare:1203,,,0,15,30283.34748059875,31132.205452070437,1203,0
795,BasicRequest,1,30540,30540,9939;-1;-1,2944;-1;-1,,,,,467.5412290086855,8034.595999999999,0:t_wait:94.66422306174354;t_drive:497.54122900868606;fare:803,,,0,15,30634.66422306175,31132.205452070437,803,0
