sim_time,reservation_time_trigger,user_requests
0,0.0,0.06679
60,0.0,0.0
120,0.0,0.1027
180,0.0,0.20008
240,0.0,0.64061
300,0.0,0.0
360,0.0,0.66641
420,0.0,1.33931
480,0.0,1.00433
540,0.0,0.0
600,0.0,2.0923499999999997
660,0.0,0.0
720,0.0,0.29252
780,0.0,0.55197
840,0.0,2.24468
900,0.0,0.39227
960,0.0,0.75698
1020,0.0,0.76294
1080,0.0,2.44873
1140,0.0,1.04922
1200,0.0,1.1899899999999999
1260,0.0,0.80776
1320,0.0,0.307
1380,0.0,0.0
1440,0.0,0.36585
1500,0.0,0.0
1560,0.0,0.46003
1620,0.0,0.0
1680,0.0,0.90997
1740,0.0,1.37839
1800,0.0,0.22286
1860,0.0,0.34273
1920,0.0,0.4678
1980,0.0,0.8286
2040,0.0,2.35447
2100,0.0,0.50573
2160,0.0,0.06022
2220,0.0,0.70164
2280,0.0,0.0
2340,0.0,0.48271
2400,0.0,0.0
2460,0.0,0.51926
2520,0.0,0.23417
2580,0.0,0.0
2640,0.0,2.40588
2700,0.0,0.38756999999999997
2760,0.0,1.30097
2820,0.0,0.17264
2880,0.0,1.09572
2940,0.0,0.0
3000,0.0,0.56132
3060,0.0,0.63857
3120,0.0,1.1989100000000001
3180,0.0,0.15575
3240,0.0,0.25869
3300,0.0,1.2871299999999999
3360,0.0,0.19626
3420,0.0,0.14354
3480,0.0,0.43442
3540,0.0,0.3753
3600,0.0,0.38961
3660,0.0,1.1351
3720,0.0,1.31959
3780,0.0,0.33961
3840,0.0,0.6952
3900,0.0,0.86269
3960,0.0,0.81735
4020,0.0,0.13447
4080,0.0,0.0
4140,0.0,0.16143
4200,0.0,0.99658
4260,0.0,0.66636
4320,0.0,1.19688
4380,0.0,0.91064
4440,0.0,0.0544
4500,0.0,0.8210200000000001
4560,0.0,0.48153999999999997
4620,0.0,1.42962
4680,0.0,0.60608
4740,0.0,0.0
4800,0.0,0.12505
4860,0.0,0.21461
4920,0.0,0.74779
4980,0.0,0.86785
5040,0.0,0.0
5100,0.0,0.46952000000000005
5160,0.0,0.0
5220,0.0,0.91392
5280,0.0,0.26236
5340,0.0,0.69423
5400,0.0,0.0
5460,0.0,0.0
5520,0.0,0.0
5580,0.0,0.16186
5640,0.0,1.83377
5700,0.0,0.44499
5760,0.0,0.61061
5820,0.0,0.06865
5880,0.0,0.0
5940,0.0,0.81107
6000,0.0,0.0
6060,0.0,0.67044
6120,0.0,0.4458
6180,0.0,0.22728
6240,0.0,0.0
6300,0.0,0.37559
6360,0.0,1.00448
6420,0.0,0.64498
6480,0.0,0.13978
6540,0.0,0.5629
6600,0.0,0.79734
6660,0.0,0.4459
6720,0.0,0.37835
6780,0.0,0.333
6840,0.0,0.21986
6900,0.0,0.67686
6960,0.0,0.7854699999999999
7020,0.0,0.21745
7080,0.0,0.11188
7140,0.0,0.86661
7200,0.0,0.0
7260,0.0,0.0
7320,0.0,0.06375
7380,0.0,0.20717000000000002
7440,0.0,0.33139
7500,0.0,1.55322
7560,0.0,0.50946
7620,0.0,0.50968
7680,0.0,0.0
7740,0.0,1.1693099999999998
7800,0.0,0.32812
7860,0.0,0.98658
7920,0.0,0.11889
7980,0.0,1.57004
8040,0.0,0.4521
8100,0.0,0.0
8160,0.0,0.27923
8220,0.0,1.25881
8280,0.0,0.25296
8340,0.0,0.7202
8400,0.0,0.53791
8460,0.0,0.7063900000000001
8520,0.0,0.25959
8580,0.0,0.15055
8640,0.0,0.12597
8700,0.0,0.18212
8760,0.0,0.0
8820,0.0,0.14735
8880,0.0,0.6588599999999999
8940,0.0,0.11786
9000,0.0,0.15306999999999998
9060,0.0,0.11608
9120,0.0,0.49624999999999997
9180,0.0,0.276
9240,0.0,0.0
9300,0.0,0.13171
9360,0.0,0.0
9420,0.0,0.27744
9480,0.0,0.06016
9540,0.0,0.0
9600,0.0,0.0
9660,0.0,0.16827999999999999
9720,0.0,0.25635
9780,0.0,0.29078
9840,0.0,0.0
9900,0.0,0.07101
9960,0.0,0.6017600000000001
10020,0.0,0.32511
10080,0.0,0.22401
10140,0.0,0.0
10200,0.0,0.59739
10260,0.0,1.76817
10320,0.0,0.14432
10380,0.0,0.05508
10440,0.0,0.45794
10500,0.0,0.57124
10560,0.0,0.10356
10620,0.0,0.5149699999999999
10680,0.0,0.30632
10740,0.0,0.35317
10800,0.0,0.15125
10860,0.0,0.32171
10920,0.0,0.0
10980,0.0,0.40212
11040,0.0,0.0
11100,0.0,0.68814
11160,0.0,0.08066
11220,0.0,0.11596
11280,0.0,0.30818
11340,0.0,0.0
11400,0.0,0.05668
11460,0.0,0.52274
11520,0.0,0.2037
11580,0.0,0.40275
11640,0.0,0.0
11700,0.0,0.36878
11760,0.0,0.0
11820,0.0,0.11765
11880,0.0,0.28950000000000004
11940,0.0,0.22239
12000,0.0,0.48822
12060,0.0,0.05449
12120,0.0,0.1182
12180,0.0,0.16501
12240,0.0,0.05046
12300,0.0,0.08399
12360,0.0,0.05121
12420,0.0,0.11562
12480,0.0,0.13979
12540,0.0,0.7326
12600,0.0,0.80046
12660,0.0,0.0
12720,0.0,0.54691
12780,0.0,0.05143
12840,0.0,0.10867
12900,0.0,0.37278
12960,0.0,0.38079999999999997
13020,0.0,0.12134
13080,0.0,0.0
13140,0.0,0.23899
13200,0.0,0.22897
13260,0.0,0.0928
13320,0.0,0.2248
13380,0.0,0.47458
13440,0.0,0.0
13500,0.0,0.16374
13560,0.0,0.46165
13620,0.0,0.2436
13680,0.0,0.30434
13740,0.0,0.0717
13800,0.0,0.08597
13860,0.0,0.28378000000000003
13920,0.0,0.0
13980,0.0,0.11434
14040,0.0,0.34109
14100,0.0,0.25679
14160,0.0,0.0
14220,0.0,0.25726
14280,0.0,0.0
14340,0.0,0.44116
14400,0.0,0.0
14460,0.0,0.7928599999999999
14520,0.0,0.24815
14580,0.0,0.18597
14640,0.0,0.0
14700,0.0,0.34669
14760,0.0,0.04992
14820,0.0,0.0
14880,0.0,0.06226
14940,0.0,0.10633000000000001
15000,0.0,0.29852
15060,0.0,0.28443
15120,0.0,0.162
15180,0.0,0.1137
15240,0.0,0.1278
15300,0.0,0.18566
15360,0.0,0.15444000000000002
15420,0.0,0.27958
15480,0.0,0.39994
15540,0.0,0.0
15600,0.0,0.0
15660,0.0,0.17423
15720,0.0,0.0
15780,0.0,0.0
15840,0.0,0.12891
15900,0.0,0.0825
15960,0.0,0.31254000000000004
16020,0.0,0.22909000000000002
16080,0.0,0.33024
16140,0.0,0.0
16200,0.0,0.26548
16260,0.0,0.06
16320,0.0,0.05589
16380,0.0,0.32143
16440,0.0,0.16684
16500,0.0,0.82743
16560,0.0,0.0424
16620,0.0,0.1167
16680,0.0,0.25921
16740,0.0,0.0
16800,0.0,0.17632
16860,0.0,0.15975
16920,0.0,0.12861
16980,0.0,0.22037
17040,0.0,0.0
17100,0.0,0.0
17160,0.0,0.16904
17220,0.0,0.1616
17280,0.0,0.0
17340,0.0,0.216
17400,0.0,0.17913
17460,0.0,0.05574
17520,0.0,0.08599
17580,0.0,0.0
17640,0.0,0.17198
17700,0.0,0.15999
17760,0.0,0.58704
17820,0.0,0.38522
17880,0.0,0.52004
17940,0.0,0.54558
18000,0.0,0.23618
18060,0.0,1.02246
18120,0.0,0.0
18180,0.0,0.8643099999999999
18240,0.0,0.91277
18300,0.0,0.2719
18360,0.0,0.0
18420,0.0,0.0937
18480,0.0,0.0
18540,0.0,0.5237
18600,0.0,0.55779
18660,0.0,0.5892200000000001
18720,0.0,0.16976
18780,0.0,0.58525
18840,0.0,0.10764
18900,0.0,0.43468999999999997
18960,0.0,0.44383999999999996
19020,0.0,0.39033
19080,0.0,0.42397
19140,0.0,0.20051000000000002
19200,0.0,0.08222
19260,0.0,0.22962
19320,0.0,0.20254
19380,0.0,0.04977
19440,0.0,0.4001
19500,0.0,0.0
19560,0.0,0.52579
19620,0.0,0.11308000000000001
19680,0.0,0.0
19740,0.0,0.24427
19800,0.0,0.43313
19860,0.0,0.06278
19920,0.0,0.1303
19980,0.0,0.28701
20040,0.0,0.22203
20100,0.0,0.34420999999999996
20160,0.0,0.13134
20220,0.0,0.18019000000000002
20280,0.0,0.06667
20340,0.0,0.05092
20400,0.0,0.0
20460,0.0,0.11933
20520,0.0,0.31674
20580,0.0,0.33855
20640,0.0,0.11567
20700,0.0,0.0
20760,0.0,0.22473
20820,0.0,0.18866
20880,0.0,0.0
20940,0.0,0.0
21000,0.0,0.13071
21060,0.0,0.11716
21120,0.0,0.33135000000000003
21180,0.0,0.18664
21240,0.0,0.5677
21300,0.0,0.11521
21360,0.0,0.26652
21420,0.0,0.11587
21480,0.0,0.1736
21540,0.0,0.16218
21600,0.0,2.4067100000000003
21660,0.0,1.4008699999999998
21720,0.0,2.0627899999999997
21780,0.0,1.31368
21840,0.0,1.06453
21900,0.0,2.1317799999999996
21960,0.0,1.8884499999999997
22020,0.0,1.1854500000000001
22080,0.0,1.3838
22140,0.0,1.0542
22200,0.0,1.28255
22260,0.0,0.7385199999999998
22320,0.0,1.06754
22380,0.0,1.1916000000000002
22440,0.0,1.2210299999999998
22500,0.0,1.66735
22560,0.0,1.43453
22620,0.0,1.8349499999999996
22680,0.0,1.26448
22740,0.0,1.3755700000000002
22800,0.0,1.46193
22860,0.0,1.6433200000000001
22920,0.0,0.9053399999999999
22980,0.0,2.0182799999999994
23040,0.0,1.2536100000000001
23100,0.0,1.6446
23160,0.0,0.86561
23220,0.0,1.30227
23280,0.0,1.1009
23340,0.0,2.08516
23400,0.0,2.08602
23460,0.0,1.04214
23520,0.0,1.5006
23580,0.0,0.8520000000000001
23640,0.0,0.7746000000000001
23700,0.0,1.1559
