sim_time,reservation_time_trigger,user_requests
0,0.0,0.15612
60,0.0,0.0
120,0.0,0.17726
180,0.0,0.34138
240,0.0,0.88129
300,0.0,0.0
360,0.0,1.0868
420,0.0,2.48163
480,0.0,1.7459500000000001
540,0.0,0.0
600,0.0,3.06109
660,0.0,0.0
720,0.0,0.69486
780,0.0,1.6063100000000001
840,0.0,3.6531000000000002
900,0.0,0.82601
960,0.0,1.03224
1020,0.0,0.94239
1080,0.0,1.81166
1140,0.0,1.05015
1200,0.0,3.07637
1260,0.0,2.07652
1320,0.0,1.05076
1380,0.0,0.0
1440,0.0,1.0322900000000002
1500,0.0,0.0
1560,0.0,0.94806
1620,0.0,0.0
1680,0.0,0.80233
1740,0.0,1.8639999999999999
1800,0.0,0.31926
1860,0.0,0.68173
1920,0.0,1.00676
1980,0.0,2.26553
2040,0.0,3.03317
2100,0.0,1.39264
2160,0.0,0.40725
2220,0.0,0.88051
2280,0.0,0.0
2340,0.0,0.66974
2400,0.0,0.0
2460,0.0,0.37729
2520,0.0,0.39991
2580,0.0,0.0
2640,0.0,2.71673
2700,0.0,0.74278
2760,0.0,1.7166
2820,0.0,0.78039
2880,0.0,0.69411
2940,0.0,0.0
3000,0.0,0.5241100000000001
3060,0.0,0.55289
3120,0.0,0.88876
3180,0.0,0.17987
3240,0.0,0.19329
3300,0.0,1.4711299999999998
3360,0.0,0.79998
3420,0.0,0.26266
3480,0.0,0.32844
3540,0.0,0.4656
3600,0.0,0.55333
3660,0.0,0.82232
3720,0.0,1.40418
3780,0.0,0.2503
3840,0.0,0.71445
3900,0.0,1.32904
3960,0.0,1.9499499999999999
4020,0.0,0.37218
4080,0.0,0.0
4140,0.0,0.15607
4200,0.0,1.4901700000000002
4260,0.0,1.71676
4320,0.0,2.45435
4380,0.0,1.2719200000000002
4440,0.0,0.33844
4500,0.0,1.59727
4560,0.0,0.87178
4620,0.0,1.8326900000000002
4680,0.0,0.42834
4740,0.0,0.0
4800,0.0,0.27997
4860,0.0,0.4253
4920,0.0,1.2780099999999999
4980,0.0,1.24441
5040,0.0,0.0
5100,0.0,0.49659
5160,0.0,0.0
5220,0.0,1.12419
5280,0.0,0.25756
5340,0.0,0.5607800000000001
5400,0.0,0.0
5460,0.0,0.0
5520,0.0,0.0
5580,0.0,0.18685
5640,0.0,1.1914500000000001
5700,0.0,0.4123
5760,0.0,1.04421
5820,0.0,0.17936
5880,0.0,0.0
5940,0.0,0.74351
6000,0.0,0.0
6060,0.0,0.57589
6120,0.0,0.66014
6180,0.0,0.31592
6240,0.0,0.0
6300,0.0,0.27205
6360,0.0,1.01115
6420,0.0,1.2646300000000001
6480,0.0,0.24201
6540,0.0,0.63283
6600,0.0,0.9845299999999999
6660,0.0,0.70111
6720,0.0,0.25114
6780,0.0,0.28228
6840,0.0,0.29871
6900,0.0,1.01791
6960,0.0,0.8751300000000001
7020,0.0,0.24095
7080,0.0,0.20027
7140,0.0,0.70133
7200,0.0,0.0
7260,0.0,0.0
7320,0.0,0.16633
7380,0.0,0.5666
7440,0.0,0.30999
7500,0.0,1.27037
7560,0.0,0.32853
7620,0.0,0.46635
7680,0.0,0.0
7740,0.0,0.7209800000000001
7800,0.0,0.36352
7860,0.0,0.7489699999999999
7920,0.0,0.12074
7980,0.0,0.5284
8040,0.0,0.6448400000000001
8100,0.0,0.0
8160,0.0,0.32062
8220,0.0,0.67719
8280,0.0,0.34801
8340,0.0,1.10513
8400,0.0,0.83287
8460,0.0,1.33759
8520,0.0,0.7236
8580,0.0,0.12119
8640,0.0,0.17567
8700,0.0,0.38422999999999996
8760,0.0,0.0
8820,0.0,0.38193
8880,0.0,1.09637
8940,0.0,0.23025
9000,0.0,0.53596
9060,0.0,0.4628
9120,0.0,0.7762100000000001
9180,0.0,0.49344
9240,0.0,0.0
9300,0.0,0.2316
9360,0.0,0.0
9420,0.0,0.8970800000000001
9480,0.0,0.37114
9540,0.0,0.0
9600,0.0,0.0
9660,0.0,0.32689
9720,0.0,0.23447
9780,0.0,0.5895900000000001
9840,0.0,0.0
9900,0.0,0.33694
9960,0.0,1.53552
10020,0.0,0.6340600000000001
