request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
15112,BasicRequest,1,54180,54180,4881;-1;-1,4254;-1;-1,,,,,463.0431101300001,5285.078,0:t_wait:976.6653527530143;t_drive:583.1233222890005;fare:528,,,0.0,71.0,55156.66535275304,55739.78867504205,528.0,0
15161,BasicRequest,1,54240,54240,5238;-1;-1,6011;-1;-1,,,,,280.03810781500005,2521.675,0:t_wait:1103.0688666471688;t_drive:310.03810781500215;fare:252,,,0.0,72.0,55343.06886664715,55723.758482161145,252.0,0
14968,BasicRequest,1,53880,53880,10159;-1;-1,2074;-1;-1,,,,,514.262874159,6666.904,0:t_wait:976.0753321931043;t_drive:544.2628741590015;fare:666,,,0.0,73.0,54961.7340983791,55694.69976076211,666.0,0
15511,BasicRequest,1,54900,54900,4074;-1;-1,4272;-1;-1,,,,,247.78086731899998,2896.538,0:t_wait:545.6084639162364;t_drive:277.7808673190011;fare:289,,,0.0,81.0,55445.608463916236,55723.38933123524,289.0,0
14911,BasicRequest,1,53760,53760,1558;-1;-1,223;-1;-1,,,,,560.45026566,8718.489,0:t_wait:1156.368167048102;t_drive:590.4502656600016;fare:871,,,0.0,83.0,54916.368167048124,55708.44206754214,871.0,0
15276,BasicRequest,1,54480,54480,6011;-1;-1,223;-1;-1,,,,,561.7331728049999,9216.376999999999,0:t_wait:636.708894737123;t_drive:591.7331728049976;fare:921,,,0.0,83.0,55116.70889473712,55708.44206754214,921.0,0
15545,BasicRequest,1,54960,54960,6011;-1;-1,223;-1;-1,,,,,561.7331728049999,9216.376999999999,0:t_wait:156.70889473712305;t_drive:591.7331728049976;fare:921,,,0.0,83.0,55116.70889473712,55708.44206754214,921.0,0
14819,BasicRequest,1,53580,53580,1174;-1;-1,4931;-1;-1,,,,,788.5324782950001,10218.994999999999,0:t_wait:960.5747012402644;t_drive:818.5324782949974;fare:1021,,,0.0,85.0,54540.57470124026,55681.54607097828,1021.0,0
15384,BasicRequest,1,54660,54660,605;-1;-1,4931;-1;-1,,,,,210.27306553200003,2970.8630000000003,0:t_wait:781.273005446259;t_drive:240.27306553199742;fare:297,,,0.0,85.0,55441.27300544627,55681.54607097828,297.0,0
14735,BasicRequest,1,53460,53460,1521;-1;-1,392;-1;-1,,,,,994.970062959,15913.371000000001,0:t_wait:827.2596690940845;t_drive:1253.2715886270016;fare:1591,,,0.0,106.0,54287.25966909413,55681.083852652155,1591.0,0
15335,BasicRequest,1,54600,54600,4428;-1;-1,887;-1;-1,,,,,524.1529021050001,7902.306,0:t_wait:533.445142157143;t_drive:554.152902105001;fare:790,,,0.0,124.0,55133.44514215713,55687.598044262144,790.0,0
15542,BasicRequest,1,54960,54960,4428;-1;-1,887;-1;-1,,,,,524.1529021050001,7902.306,0:t_wait:173.44514215714298;t_drive:554.152902105001;fare:790,,,0.0,124.0,55133.44514215713,55687.598044262144,790.0,0
15218,BasicRequest,1,54360,54360,887;-1;-1,4420;-1;-1,,,,,276.140471908,3833.968,0:t_wait:1038.7572815142485;t_drive:306.1404719080019;fare:383,,,0.0,127.0,55398.757281514285,55704.897753422294,383.0,0
15278,BasicRequest,1,54480,54480,10914;-1;-1,887;-1;-1,,,,,301.202900382,4127.513,0:t_wait:898.5977537789877;t_drive:331.2029003819989;fare:412,,,0.0,135.0,55378.59775377903,55709.80065416104,412.0,0
15152,BasicRequest,1,54240,54240,7746;-1;-1,7899;-1;-1,,,,,555.651651502,8159.889000000001,0:t_wait:698.8141396340434;t_drive:798.1517642530016;fare:815,,,0.0,137.0,54938.81413963407,55736.96590388708,815.0,0
15495,BasicRequest,1,54840,54840,1174;-1;-1,5269;-1;-1,,,,,239.553449565,3396.242,0:t_wait:584.5408542921577;t_drive:269.553449564999;fare:339,,,0.0,138.0,55424.54085429218,55694.09430385719,339.0,0
15107,BasicRequest,1,54180,54180,605;-1;-1,4074;-1;-1,,,,,438.389783078,6018.344000000001,0:t_wait:1036.0742616670177;t_drive:468.389783077997;fare:601,,,0.0,139.0,55216.07426166705,55684.46404474505,601.0,0
