request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
7537,BasicRequest,1,39960,39960,6141;-1;-1,5269;-1;-1,,,,,233.52795210399998,2527.6889999999994,0:t_wait:180.00934258798952;t_drive:263.52795210399927;fare:252,,,0,9,40140.009342588004,40403.537294692,252,0
6950,BasicRequest,1,38940,38940,4994;-1;-1,1973;-1;-1,,,,,401.87879834000006,5401.334,0:t_wait:962.3126291030203;t_drive:534.1035894779998;fare:540,,,0,20,39902.31262910301,40436.41621858102,540,0
7167,BasicRequest,1,39360,39360,3699;-1;-1,10186;-1;-1,,,,,447.373412477,5375.249000000001,0:t_wait:583.0022522779545;t_drive:477.37341247699806;fare:537,,,0,43,39943.00225227796,40420.37566475498,537,0
6885,BasicRequest,1,38820,38820,1608;-1;-1,6141;-1;-1,,,,,459.1905603849999,5404.277,0:t_wait:1104.1318364990366;t_drive:489.19056038500275;fare:540,,,0,44,39924.131836499044,40413.32239688405,540,0
6541,BasicRequest,1,38220,38220,1498;-1;-1,4994;-1;-1,,,,,880.4443928080001,13292.183,0:t_wait:943.9736041130018;t_drive:1237.0550652950042;fare:1329,,,0,46,39163.973604113,40401.02866940801,1329,0
7251,BasicRequest,1,39480,39480,4251;-1;-1,6011;-1;-1,,,,,383.68123906000005,4970.706999999999,0:t_wait:502.21375544201146;t_drive:413.68123906000255;fare:497,,,0,49,39982.21375544199,40395.894994502014,497,0
6987,BasicRequest,1,39000,39000,4931;-1;-1,1174;-1;-1,,,,,787.657422451,10209.597,0:t_wait:579.9085031760114;t_drive:817.6574224509968;fare:1020,,,0,70,39579.908503176026,40397.56592562702,1020,0
6647,BasicRequest,1,38400,38400,1498;-1;-1,4428;-1;-1,,,,,946.0621302499999,12918.3,0:t_wait:824.6542313959944;t_drive:1196.4498998909985;fare:1291,,,0,78,39224.65423139601,40421.10413128702,1291,0
6786,BasicRequest,1,38640,38640,1498;-1;-1,4428;-1;-1,,,,,946.0621302499999,12918.3,0:t_wait:584.6542313960163;t_drive:1196.4498998909985;fare:1291,,,0,78,39224.65423139601,40421.10413128702,1291,0
6787,BasicRequest,1,38640,38640,1498;-1;-1,4428;-1;-1,,,,,946.0621302499999,12918.3,0:t_wait:584.6542313960163;t_drive:1196.4498998909985;fare:1291,,,0,78,39224.65423139601,40421.10413128702,1291,0
7179,BasicRequest,1,39360,39360,5269;-1;-1,4428;-1;-1,,,,,293.605353581,3954.515,0:t_wait:737.4987777060087;t_drive:323.6053535809988;fare:395,,,0,78,40097.49877770603,40421.10413128702,395,0
7515,BasicRequest,1,39960,39960,10479;-1;-1,605;-1;-1,,,,,417.9325515619999,6228.764999999999,0:t_wait:31.74447158099065;t_drive:447.9325515620003;fare:622,,,0,80,39991.74447158099,40439.67702314299,622,0
7358,BasicRequest,1,39660,39660,7746;-1;-1,3562;-1;-1,,,,,228.731694399,2744.5460000000003,0:t_wait:501.56851753599767;t_drive:258.73169439900084;fare:274,,,0,95,40161.568517536005,40420.300211935,274,0
7098,BasicRequest,1,39240,39240,7173;-1;-1,10479;-1;-1,,,,,691.3159117769997,9520.037999999999,0:t_wait:253.7854792770595;t_drive:886.3881666090019;fare:952,,,0,99,39493.78547927705,40380.17364588607,952,0
7237,BasicRequest,1,39480,39480,6011;-1;-1,5881;-1;-1,,,,,253.96765565899997,3378.0590000000007,0:t_wait:524.0977030739596;t_drive:283.9676556589984;fare:337,,,0,106,40004.09770307395,40389.20159455296,337,0
7138,BasicRequest,1,39300,39300,4955;-1;-1,1174;-1;-1,,,,,541.196914862,7823.215000000001,0:t_wait:539.6830060930224;t_drive:571.1969148619974;fare:782,,,0,123,39839.68300609305,40410.87992095507,782,0
7059,BasicRequest,1,39120,39120,3699;-1;-1,2420;-1;-1,,,,,464.07142312999997,7105.11,0:t_wait:678.5305221350791;t_drive:494.07142313000077;fare:710,,,0,124,39798.53052213507,40398.25705861506,710,0
7524,BasicRequest,1,39960,39960,4307;-1;-1,5311;-1;-1,,,,,357.92860098200003,3668.332,0:t_wait:80.22592756900121;t_drive:387.9286009819989;fare:366,,,0,131,40040.225927568994,40428.15452855099,366,0
7467,BasicRequest,1,39900,39900,605;-1;-1,6011;-1;-1,,,,,89.906258739,1215.004,0:t_wait:362.96192732701456;t_drive:119.9062587389999;fare:121,,,0,147,40262.96192732702,40382.86818606603,121,0
6674,BasicRequest,1,38460,38460,3699;-1;-1,1174;-1;-1,,,,,1096.5507431869996,14889.550000000001,0:t_wait:397.38205803302117;t_drive:1466.1517689730026;fare:1488,,,0,161,38857.38205803305,40401.44788390608,1488,0
7501,BasicRequest,1,39960,39960,4881;-1;-1,1174;-1;-1,,,,,312.33271381,3909.4230000000002,0:t_wait:99.1151700960836;t_drive:342.3327138099994;fare:390,,,0,161,40059.115170096076,40401.44788390608,390,0
6927,BasicRequest,1,38940,38940,4251;-1;-1,4934;-1;-1,,,,,673.9381820289999,8729.812,0:t_wait:759.556045860998;t_drive:703.938182029;fare:872,,,0,163,39699.556045861034,40403.49422789002,872,0
6678,BasicRequest,1,38460,38460,8313;-1;-1,1973;-1;-1,,,,,601.4224873090002,8290.81,0:t_wait:320.5108343710599;t_drive:631.4224873089988;fare:829,,,0,170,39621.00675187203,40436.13347785904,829,0
6815,BasicRequest,1,38700,38700,5106;-1;-1,9641;-1;-1,,,,,424.499908916,6116.8229999999985,0:t_wait:1113.8811505820922;t_drive:454.49990891599737;fare:611,,,0,177,39813.88115058209,40397.16353235807,611,0
6803,BasicRequest,1,38700,38700,4314;-1;-1,8210;-1;-1,,,,,1075.7890253210003,16823.579999999998,0:t_wait:176.59700233698095;t_drive:1547.3050321810006;fare:1682,,,0,182,38876.59700233698,40423.90203451801,1682,0
6654,BasicRequest,1,38460,38460,1498;-1;-1,10159;-1;-1,,,,,804.64126078,12187.04,0:t_wait:1112.970890971992;t_drive:834.6412607800012;fare:1218,,,0,191,39572.97089097201,40407.61215175199,1218,0
7557,BasicRequest,1,40020,40020,6011;-1;-1,8313;-1;-1,,,,,252.642380996,3178.2820000000006,0:t_wait:84.98494953705813;t_drive:282.64238099600334;fare:317,,,0,192,40104.98494953706,40387.627330533054,317,0
6758,BasicRequest,1,38580,38580,3562;-1;-1,4955;-1;-1,,,,,722.7878006009998,10945.317,0:t_wait:1053.185676921028;t_drive:752.7878006009996;fare:1094,,,0,194,39663.18567692103,40415.97347752203,1094,0
7239,BasicRequest,1,39480,39480,7899;-1;-1,4254;-1;-1,,,,,716.1705612449999,10376.162999999999,0:t_wait:18.724994003030588;t_drive:902.8733473029934;fare:1037,,,0,195,39498.72499400303,40401.59834130601,1037,0
6971,BasicRequest,1,39000,39000,605;-1;-1,10914;-1;-1,,,,,504.5693047,7233.052,0:t_wait:562.8021960970145;t_drive:534.5693047000022;fare:723,,,0,234,39887.136106968006,40421.70541166803,723,0
7142,BasicRequest,1,39300,39300,4307;-1;-1,10914;-1;-1,,,,,749.4000402479999,11795.092999999993,0:t_wait:0;t_drive:779.4000402480015;fare:1179,,,0,246,39300.0,40384.750953406,1179,0
7274,BasicRequest,1,39540,39540,10186;-1;-1,4428;-1;-1,,,,,474.7452315830001,6360.243,0:t_wait:362.28884814697085;t_drive:504.74523158300144;fare:636,,,0,281,39902.28884814699,40407.03407972997,636,0
7190,BasicRequest,1,39420,39420,10186;-1;-1,4994;-1;-1,,,,,296.78112945099997,3086.2039999999997,0:t_wait:472.2963696099905;t_drive:326.7811294510029;fare:308,,,0,298,40106.37219332796,40433.15332277896,308,0
6825,BasicRequest,1,38700,38700,605;-1;-1,1608;-1;-1,,,,,507.8571263970002,7175.591,0:t_wait:1157.5769613120428;t_drive:537.8571263970007;fare:717,,,0,342,39857.576961312014,40395.43408770898,717,0
6773,BasicRequest,1,38640,38640,6141;-1;-1,1174;-1;-1,,,,,386.147313985,5337.502,0:t_wait:1168.784982724006;t_drive:416.1473139849986;fare:533,,,0,377,39808.784982723984,40391.302420211025,533,0
7482,BasicRequest,1,39900,39900,8698;-1;-1,1174;-1;-1,,,,,322.95164810100005,4336.134,0:t_wait:138.3507721099959;t_drive:352.9516481009996;fare:433,,,0,377,40038.35077211,40391.302420211025,433,0
6400,BasicRequest,1,37980,37980,1498;-1;-1,4254;-1;-1,,,,,1096.828127744,13594.481,0:t_wait:943.8875374629424;t_drive:1516.9172857069934;fare:1359,,,0,4,38923.88753746296,40440.804823169994,1359,0
7308,BasicRequest,1,39600,39600,4074;-1;-1,10159;-1;-1,,,,,570.0834843480001,7760.596,0:t_wait:299.82953065611946;t_drive:600.083484347997;fare:776,,,0,21,39899.82953065613,40499.91301500413,776,0
7305,BasicRequest,1,39600,39600,8658;-1;-1,10914;-1;-1,,,,,459.2980439919999,6049.876000000002,0:t_wait:375.6786545130017;t_drive:489.2980439919993;fare:604,,,0,59,39975.67865451299,40464.976698505016,604,0
6824,BasicRequest,1,38700,38700,1498;-1;-1,6512;-1;-1,,,,,631.2434231699999,9321.898000000001,0:t_wait:1115.2596436620079;t_drive:661.2434231700026;fare:932,,,0,93,39815.25964366198,40476.50306683198,932,0
7435,BasicRequest,1,39840,39840,8523;-1;-1,1174;-1;-1,,,,,221.852374978,2541.6620000000003,0:t_wait:404.13465673807514;t_drive:251.85237497799972;fare:254,,,0,113,40244.13465673807,40495.987031716075,254,0
7577,BasicRequest,1,40080,40080,7746;-1;-1,4994;-1;-1,,,,,195.01916417799998,2133.8639999999996,0:t_wait:150.46168539504288;t_drive:225.01916417799657;fare:213,,,0,119,40230.46168539503,40455.48084957303,213,0
