node_index,osm_id,is_stop_only,pos_x,pos_y
0,53726295,False,-88.3260251,36.5004975
1,161654014,False,-88.9526584,36.9888184
2,161654295,False,-88.861911,37.005113
3,161654312,False,-88.852288,37.005185
4,161656958,False,-89.0886538,36.9686928
5,161666993,False,-88.83103,36.968693
6,161684907,False,-89.083315,36.96415
7,161684937,False,-89.089199,36.964795
8,161707908,False,-88.975796,37.071887
9,161710257,False,-88.965625,36.943177
10,161710276,False,-88.9642926,36.9431703
11,161710286,False,-88.9636823,36.9430972
12,161710317,False,-88.963074,36.94382
13,161711344,False,-88.830369,36.967486
14,161714437,False,-88.970351,36.931856
15,161718371,False,-88.965626,36.943804
16,162511352,False,-87.884893,37.10448
17,162514902,False,-87.891796,37.123584
18,162514931,False,-87.89206,37.123925
19,162516253,False,-87.813461,37.275521
20,162516371,False,-87.893722,37.121893
21,162516388,False,-87.894322,37.121755
22,162516398,False,-87.893391,37.121708
23,162516417,False,-87.893673,37.121949
24,162516562,False,-87.89277,37.123559
25,162516625,False,-87.896815,37.121951
26,162518402,False,-87.873616,36.967499
27,162518423,False,-87.874295,36.9677292
28,162518428,False,-87.874397,36.967723
29,162518445,False,-87.87546,36.96801
30,162518481,False,-87.8689605,36.9647507
31,162518513,False,-87.874173,36.968033
32,162518564,False,-87.873752,36.965502
33,162518579,False,-87.874961,36.965833
34,162518582,False,-87.875054,36.965853
35,162518602,False,-87.875517,36.965934
36,162518634,False,-87.8797962,36.9685643
37,162520310,False,-87.870334,37.135284
38,162520349,False,-87.871647,37.134329
39,162520432,False,-87.877948,37.130175
40,162520449,False,-87.864628,37.135087
41,162520511,False,-87.870162,37.134318
42,162520539,False,-87.870665,37.134099
43,162520823,False,-88.048532,37.207594
44,162521510,False,-87.876636,37.130604
45,162521555,False,-87.872124,37.131439
46,162521582,False,-87.871495,37.131135
47,162521616,False,-87.871388,37.131518
48,162521651,False,-87.870142,37.131484
49,162521688,False,-87.871336,37.131702
50,162521821,False,-87.870458,37.134847
51,162522497,False,-87.898296,37.121472
52,162522543,False,-87.8941212,37.121398
53,162523374,False,-87.875271,36.964955
54,162523421,False,-87.875181,36.965498
55,162524241,False,-87.871611,37.130725
56,162524351,False,-87.863494,37.135295
57,162526961,False,-87.889242,37.123666
58,162526976,False,-87.892546,37.123331
59,162526997,False,-87.887949,37.124392
60,162527054,False,-87.892494,37.123394
61,162528779,False,-88.047529,37.207307
62,162528793,False,-88.047414,37.207642
63,162532696,False,-87.874157,36.968377
64,162538019,False,-87.779496,36.987922
65,162538022,False,-87.77975,36.988032
66,162538529,False,-87.877294,37.030828
67,162538545,False,-87.878366,37.0314971
68,162540409,False,-87.880082,37.107872
69,162540675,False,-87.873676,36.969536
70,162546405,False,-87.878941,37.106866
71,162549100,False,-87.881877,37.108613
72,162551575,False,-88.062183,37.211847
73,162551816,False,-87.881602,37.098793
74,162556715,False,-87.882182,37.10874
75,162556717,False,-87.88247,37.108861
76,162556757,False,-87.886709,37.11113
77,162557700,False,-87.901998,37.246602
78,162557941,False,-87.819948,37.262629
79,162559561,False,-87.706403,37.160597
80,162575306,False,-87.882079,37.109471
81,162575368,False,-87.881791,37.109351
82,162577780,False,-87.876908,36.960526
83,162577786,False,-87.875703,36.963903
84,162579654,False,-87.87776,37.030414
85,162585121,False,-87.908328,37.141829
86,162586463,False,-87.77942,36.988351
87,162586815,False,-87.743609,37.043087
88,162588448,False,-88.315225,36.610571
89,162588477,False,-88.3148391,36.6241064
90,162588662,False,-88.3068601,36.6522403
91,162589005,False,-88.302708,36.676653
92,162589007,False,-88.302405,36.676661
93,162592468,False,-88.172262,36.548477
94,162593826,False,-88.395626,36.698487
95,162599762,False,-87.876962,36.960026
96,162602489,False,-88.247059,36.580497
97,162604625,False,-88.056871,37.209761
98,162606653,False,-88.303457,36.698078
99,162610161,False,-87.879185,37.113397
100,162616256,False,-88.325901,36.501317
101,162617996,False,-88.260032,36.625383
102,162619831,False,-88.315317,36.595565
103,162619851,False,-88.303948,36.595381
104,162620169,False,-88.862952,36.799865
105,162620176,False,-88.86296,36.800401
106,162620177,False,-88.862962,36.80054
107,162620441,False,-88.324074,36.551604
108,162620615,False,-88.862325,36.869269
109,162620620,False,-88.862316,36.869704
110,162620629,False,-88.862314,36.870308
111,162620662,False,-88.388796,36.548006
112,162620832,False,-88.864036,36.906461
113,162620857,False,-88.865392,36.90672
114,162628074,False,-88.86414,36.907076
115,162629710,False,-88.863588,36.799687
116,162629807,False,-88.862341,36.800089
117,162630668,False,-88.861689,36.869298
118,162630752,False,-88.863102,36.870214
119,162632033,False,-88.916391,36.90738
120,162632085,False,-88.916009,36.907731
121,162634078,False,-88.444855,36.648135
122,162636731,False,-88.425185,36.529917
123,162638040,False,-88.968793,36.891537
124,162638371,False,-88.916867,36.907793
125,162639028,False,-89.01258,36.875805
126,162642814,False,-88.302078,36.610586
127,162646031,False,-88.396586,36.640453
128,162646270,False,-88.4579,36.65172
129,162650770,False,-88.388156,36.600104
130,162652304,False,-89.009632,36.870874
131,162653668,False,-88.31495,36.5851861
132,162653723,False,-88.3037063,36.6692008
133,162653726,False,-88.3033721,36.6705406
134,162653758,False,-88.302363,36.67507
135,162653785,False,-88.303147,36.698053
136,162653914,False,-88.299034,36.74262
137,162654151,False,-88.299333,36.742624
138,162659393,False,-89.0129162,36.7892039
139,162660088,False,-88.999639,36.862927
140,162683906,False,-88.438456,36.589509
141,162697149,False,-88.424909,36.530079
142,162697161,False,-88.425263,36.530258
143,162920175,False,-87.4888795,36.8655349
144,162920883,False,-87.511735,36.84794
145,162920932,False,-87.529333,36.83416
146,162920934,False,-87.529499,36.834015
147,162921548,False,-87.661281,36.763437
148,162923355,False,-87.4730868,36.8283207
149,162923393,False,-87.4720733,36.8304726
150,162923476,False,-87.4704231,36.8359293
151,162925405,False,-87.633554,36.814102
152,162925432,False,-87.633164,36.814837
153,162925471,False,-87.6388679,36.8169238
154,162925521,False,-87.634106,36.814792
155,162925526,False,-87.633671,36.814659
156,162929673,False,-87.472912,36.830354
157,162930580,False,-87.4635286,36.8452725
158,162930583,False,-87.463426,36.8453786
159,162930589,False,-87.4631757,36.8456197
160,162930671,False,-87.4619986,36.8486693
161,162930765,False,-87.4612998,36.8442718
162,162930776,False,-87.461554,36.8439569
163,162930777,False,-87.4616653,36.8438557
164,162930812,False,-87.4657022,36.8411679
165,162932418,False,-87.4545887,36.7044981
166,162932422,False,-87.455418,36.704472
167,162932437,False,-87.455561,36.704264
168,162932741,False,-87.454637,36.701824
169,162936426,False,-87.4654469,37.050558
170,162936455,False,-87.4656689,37.0503488
171,162936604,False,-87.4653513,37.050361
172,162937912,False,-87.4099053,36.6842788
173,162937984,False,-87.405062,36.680384
174,162938066,False,-87.403975,36.683171
175,162938082,False,-87.40492,36.683427
176,162938304,False,-87.480637,36.897462
177,162938308,False,-87.480242,36.89779
178,162943936,False,-87.4726088,36.8649367
179,162943968,False,-87.4739889,36.8617615
180,162943978,False,-87.4744167,36.8614145
181,162951720,False,-87.4749282,36.8612428
