request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
598,BasicRequest,1,33300,33300,2944;-1;-1,2941;-1;-1,,,,,255.94512657425176,3461.397,0:t_wait:875.2881235036912;t_drive:285.94512657425366;fare:346,,,0.0,28.0,34438.960536634615,34724.90566320887,346.0,0
317,BasicRequest,1,34740,34740,11298;-1;-1,2944;-1;-1,,,,,3650.7362038879373,71588.307,0:,,,,,,,,0
1973,BasicRequest,1,34740,34740,10228;-1;-1,2944;-1;-1,,,,,3502.4337446708096,63901.185000000005,0:,,,,,,,,0
3034,BasicRequest,1,33300,33300,2944;-1;-1,5047;-1;-1,,,,,1159.862710642139,21847.857999999997,0:t_wait:0;t_drive:1461.805612798431;fare:2184,,,0.0,4.0,33300.0,34761.80561279844,2184.0,0
2007,BasicRequest,1,34800,34800,10231;-1;-1,2944;-1;-1,,,,,2754.9011560894087,49986.738000000005,0:,,,,,,,,0
2589,BasicRequest,1,34800,34800,10522;-1;-1,2944;-1;-1,,,,,3385.509266847994,71545.95,0:,,,,,,,,0
201,BasicRequest,1,34860,34860,7372;-1;-1,2944;-1;-1,,,,,4502.817332450657,96107.842,0:,,,,,,,,0
1977,BasicRequest,1,34860,34860,3354;-1;-1,2944;-1;-1,,,,,3464.8205472745685,71948.033,0:,,,,,,,,0
2997,BasicRequest,1,34860,34860,12190;-1;-1,2944;-1;-1,,,,,4669.887998793326,107817.032,0:,,,,,,,,0
895,BasicRequest,1,33480,33480,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:t_wait:886.4070723183104;t_drive:481.262937992542;fare:594,,,0.0,2.0,34366.40707231833,34919.81904928282,594.0,0
1579,BasicRequest,1,33540,33540,2950;-1;-1,2944;-1;-1,,,,,418.44447833296726,6394.414000000001,0:t_wait:931.3745709498326;t_drive:448.44447833296726;fare:639,,,0.0,2.0,34471.374570949854,34919.81904928282,639.0,0
1140,BasicRequest,1,32400,32400,2944;-1;-1,9947;-1;-1,,,,,1098.967608177677,21357.259,0:t_wait:962.2688340427994;t_drive:1128.967608177678;fare:2135,,,0.0,13.0,33362.26883404282,34871.108899908984,2135.0,0
1156,BasicRequest,1,32400,32400,2944;-1;-1,9947;-1;-1,,,,,1098.967608177677,21357.259,0:t_wait:962.2688340427994;t_drive:1128.967608177678;fare:2135,,,0.0,13.0,33362.26883404282,34871.108899908984,2135.0,0
2269,BasicRequest,1,32460,32460,4091;-1;-1,2944;-1;-1,,,,,1072.6926418309508,16879.046000000002,0:t_wait:1071.3704344777798;t_drive:1102.6926418309522;fare:1687,,,0.0,25.0,33531.37043447777,34875.905400892225,1687.0,0
2057,BasicRequest,1,33180,33180,4189;-1;-1,2944;-1;-1,,,,,894.5725002914795,17251.868,0:t_wait:771.332900600748;t_drive:924.5725002914769;fare:1725,,,0.0,25.0,33951.33290060075,34875.905400892225,1725.0,0
2087,BasicRequest,1,33180,33180,4189;-1;-1,2944;-1;-1,,,,,894.5725002914795,17251.868,0:t_wait:771.332900600748;t_drive:924.5725002914769;fare:1725,,,0.0,25.0,33951.33290060075,34875.905400892225,1725.0,0
1185,BasicRequest,1,33180,33180,10077;-1;-1,2944;-1;-1,,,,,723.2542463094488,10942.675,0:t_wait:683.7305003670772;t_drive:753.2542463094505;fare:1094,,,0.0,26.0,33863.730500367084,34885.34076764548,1094.0,0
675,BasicRequest,1,33480,33480,9912;-1;-1,2944;-1;-1,,,,,458.44321981000076,6825.384,0:t_wait:916.8975478354769;t_drive:488.44321981000394;fare:682,,,0.0,26.0,34396.89754783548,34885.34076764548,682.0,0
175,BasicRequest,1,34920,34920,11239;-1;-1,2944;-1;-1,,,,,7547.831475658044,162686.79300000003,0:,,,,,,,,0
1285,BasicRequest,1,34920,34920,9947;-1;-1,2944;-1;-1,,,,,734.4767280738959,12753.966999999997,0:,,,,,,,,0
1289,BasicRequest,1,33120,33120,9947;-1;-1,2944;-1;-1,,,,,734.4767280738959,12753.966999999997,0:t_wait:1098.967608177678;t_drive:764.4767280738961;fare:1275,,,0.0,5.0,34218.96760817768,35013.44433625158,1275.0,0
1147,BasicRequest,1,33300,33300,9947;-1;-1,2944;-1;-1,,,,,734.4767280738959,12753.966999999997,0:t_wait:918.9676081776779;t_drive:764.4767280738961;fare:1275,,,0.0,5.0,34218.96760817768,35013.44433625158,1275.0,0
1163,BasicRequest,1,33300,33300,9947;-1;-1,2944;-1;-1,,,,,734.4767280738959,12753.966999999997,0:t_wait:918.9676081776779;t_drive:764.4767280738961;fare:1275,,,0.0,5.0,34218.96760817768,35013.44433625158,1275.0,0
495,BasicRequest,1,33600,33600,10060;-1;-1,2944;-1;-1,,,,,427.3237435185241,6064.819,0:t_wait:956.1205927330448;t_drive:457.32374351852195;fare:606,,,0.0,5.0,34556.120592733045,35013.44433625158,606.0,0
1720,BasicRequest,1,33300,33300,2944;-1;-1,6422;-1;-1,,,,,491.16076167535493,7131.3679999999995,0:t_wait:1171.428154385736;t_drive:521.1607616753536;fare:713,,,0.0,8.0,34471.42815438573,34992.5889160611,713.0,0
1738,BasicRequest,1,34200,34200,2944;-1;-1,6422;-1;-1,,,,,491.16076167535493,7131.3679999999995,0:t_wait:271.428154385736;t_drive:521.1607616753536;fare:713,,,0.0,8.0,34471.42815438573,34992.5889160611,713.0,0
446,BasicRequest,1,34200,34200,2944;-1;-1,10119;-1;-1,,,,,369.4856310679246,5202.8640000000005,0:t_wait:337.542536166402;t_drive:471.16613180704735;fare:520,,,0.0,18.0,34537.5425361664,35008.708667973464,520.0,0
2392,BasicRequest,1,32400,32400,2944;-1;-1,11768;-1;-1,,,,,2124.6667457499684,44139.939000000006,0:t_wait:0;t_drive:2624.3953566221753;fare:4413,,,0.0,21.0,32400.0,35024.395356622175,4413.0,0
77,BasicRequest,1,35040,35040,10756;-1;-1,2944;-1;-1,,,,,1595.7211047148517,32326.403,0:,,,,,,,,0
2645,BasicRequest,1,35040,35040,10584;-1;-1,2944;-1;-1,,,,,3524.959865950587,67715.36,0:,,,,,,,,0
2647,BasicRequest,1,35040,35040,10584;-1;-1,2944;-1;-1,,,,,3524.959865950587,67715.36,0:,,,,,,,,0
1168,BasicRequest,1,33300,33300,2944;-1;-1,10077;-1;-1,,,,,683.7305003670747,10172.905999999997,0:t_wait:986.8515833479323;t_drive:713.7305003670772;fare:1017,,,0.0,7.0,34371.0967418581,35084.82724222518,1017.0,0
894,BasicRequest,1,35100,35100,2944;-1;-1,6828;-1;-1,,,,,451.0058960502598,5946.072,0:,,,,,,,,0
1032,BasicRequest,1,35100,35100,2944;-1;-1,2980;-1;-1,,,,,450.3519598381587,7626.7310000000025,0:,,,,,,,,0
1058,BasicRequest,1,35100,35100,2944;-1;-1,10105;-1;-1,,,,,786.4428086208901,11826.562999999998,0:,,,,,,,,0
1116,BasicRequest,1,35100,35100,2944;-1;-1,10750;-1;-1,,,,,378.788334244266,6381.464,0:,,,,,,,,0
1138,BasicRequest,1,35100,35100,2944;-1;-1,10750;-1;-1,,,,,378.788334244266,6381.464,0:,,,,,,,,0
1308,BasicRequest,1,35100,35100,2944;-1;-1,10068;-1;-1,,,,,652.9769522002288,10802.242999999999,0:,,,,,,,,0
1328,BasicRequest,1,35100,35100,2944;-1;-1,3014;-1;-1,,,,,516.6024678743784,8318.949000000002,0:,,,,,,,,0
1338,BasicRequest,1,35100,35100,2944;-1;-1,3014;-1;-1,,,,,516.6024678743784,8318.949000000002,0:,,,,,,,,0
1770,BasicRequest,1,35100,35100,2944;-1;-1,2967;-1;-1,,,,,580.4533852657621,9273.166,0:,,,,,,,,0
1876,BasicRequest,1,35100,35100,2944;-1;-1,6318;-1;-1,,,,,2122.811768473596,49262.473999999995,0:,,,,,,,,0
1982,BasicRequest,1,35100,35100,2944;-1;-1,10232;-1;-1,,,,,2209.4373952350634,39816.524999999994,0:,,,,,,,,0
2192,BasicRequest,1,35100,35100,2944;-1;-1,4085;-1;-1,,,,,1527.8833110433388,25812.455,0:,,,,,,,,0
2258,BasicRequest,1,35100,35100,2944;-1;-1,4175;-1;-1,,,,,1155.375486697779,21756.570999999996,0:,,,,,,,,0
2352,BasicRequest,1,35100,35100,2944;-1;-1,8903;-1;-1,,,,,3593.7332644753865,79378.41100000001,0:,,,,,,,,0
2432,BasicRequest,1,35100,35100,2944;-1;-1,11863;-1;-1,,,,,2887.0806026738906,60700.063,0:,,,,,,,,0
2474,BasicRequest,1,35100,35100,2944;-1;-1,11895;-1;-1,,,,,2844.1961224985803,61935.130000000005,0:,,,,,,,,0
2480,BasicRequest,1,35100,35100,2944;-1;-1,11861;-1;-1,,,,,2578.636846130553,57714.596000000005,0:,,,,,,,,0
2660,BasicRequest,1,35100,35100,2944;-1;-1,4780;-1;-1,,,,,3291.8579978781963,56803.69999999998,0:,,,,,,,,0
