operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,1,default_vehtype,boarding,True,360,390.0,5255.0;-1;-1,5255.0;-1;-1,0.0,0.8575946831862098,0.8575946831862098,0.0,,0,8,1,8,,,
0,3,default_vehtype,route,False,120,400.0381078149999,5238.0;-1;-1,6011;-1;-1,2521.6749999999997,0.5435646498507704,0.5433124823507705,0.0,,0,,0,,,5238.0;3790;7403;4204;7402;1618;3196;745;6451;6445;5844;6168;5267;7378;7291;7290;7289;7629;5484;7204;7900;2176;10236;2241;2045;2044;5420;7543;3918;6066;5738;6011,5238.0:120;3790:130.40656317;7403:132.443181817;4204:143.190765927;7402:156.307489267;1618:164.235191486;3196:172.8600349;745:181.53039996799998;6451:190.87360351599997;6445:192.08244388799997;5844:200.82852924899998;6168:209.05732309299998;5267:218.457376779;7378:226.93793780299998;7291:255.32577781299997;7290:266.90203497299996;7289:270.78009957599994;7629:281.91545659599996;5484:285.73726225099995;7204:298.4535739909999;7900:325.8146602509999;2176:334.7648660489999;10236:352.5596942489999;2241:358.5068130749999;2045:360.0162976849999;2044:362.6846271409999;5420:367.4198857309999;7543:371.9601953229999;3918:373.8529789669999;6066:382.8247711999999;5738:391.75596303999987;6011:400.0381078149999
0,3,default_vehtype,boarding,True,400.0381078149999,430.0381078149999,6011;-1;-1,6011;-1;-1,0.0,0.5433124823507705,0.5433124823507705,0.0,,0,3,1,3,,,
0,8,default_vehtype,route,False,0.0,438.38978307799994,605.0;-1;-1,4074;-1;-1,6018.344,0.916309922773969,0.915708088373969,0.0,,0,,0,,,605.0;5;606;607;9574;9508;608;609;6344;610;611;1366;9585;9587;2167;11256;114;241;11255;8607;942;6895;9847;9848;9849;9846;9482;9479;1033;5873;4073;4074,605.0:0;5:2.96858223;606:12.24772951;607:22.40129519;9574:23.389302016;9508:45.019357496;608:54.091172738;609:103.42480539799999;6344:105.24990574099999;610:133.799124731;611:156.382354741;1366:183.909134061;9585:198.60698610100002;9587:199.376380339;2167:217.661600899;11256:226.54358014000002;114:228.00217444900002;241:239.860453349;11255:241.350476613;8607:247.419620314;942:253.43580454800002;6895:279.04184650800005;9847:305.04828142800005;9848:332.87839729800004;9849:334.072819599;9846:335.08945122;9482:359.05311059;9479:365.922022928;1033:376.01888226799997;5873:386.81131694799996;4073:399.02487725799995;4074:438.38978307799994
0,8,default_vehtype,boarding,True,438.38978307799994,468.38978307799994,4074;-1;-1,4074;-1;-1,0.0,0.915708088373969,0.915708088373969,0.0,,0,1,1,1,,,
0,3,default_vehtype,route,False,430.0381078149999,672.2196009790002,6011;-1;-1,4994;-1;-1,3232.882,0.5433124823507705,0.5429891941507706,0.0,,0,3,1,,,6011;10235;597;598;599;370;600;683;5071;6585;6527;6106;10258;965;964;963;962;3787;3788;2461;7685;5474;7975;933;10157;4989;4994,6011:430.0381078149999;10235:441.89342277499986;597:452.7659397749999;598:458.7416754069999;599:462.2244254329999;370:473.3199490029999;600:483.08801066599995;683:488.66776862899997;5071:494.717506907;6585:511.091041717;6527:517.997750289;6106:523.93083234;10258:531.7144199380001;965:536.2917179290001;964:540.1542489830001;963:544.2458686300001;962:549.0042926690002;3787:572.0252431790002;3788:578.1281646180003;2461:584.1718871360002;7685:590.0246711630002;5474:599.5531409710002;7975:608.4325796920002;933:615.8491419680003;10157:638.1927801180002;4989:670.9408563480002;4994:672.2196009790002
0,3,default_vehtype,boarding,True,672.2196009790002,702.2196009790002,4994;-1;-1,4994;-1;-1,0.0,0.5429891941507706,0.5429891941507706,0.0,,0,3,1,,3,,
0,9,default_vehtype,route,False,240.0,719.2949185769999,11010.0;-1;-1,10301;-1;-1,6205.067,0.9627983191463305,0.9621778124463304,0.0,,0,,0,,,11010.0;11012;10864;3645;6171;6172;1156;5331;6998;22;5328;6812;5979;5162;5193;5192;5191;2792;5190;5189;3663;11181;4266;5188;290;272;155;152;9507;10738;5187;9613;10000;5186;5169;7851;6766;5603;5604;990;2650;10302;10301,11010.0:240;11012:282.37059324;10864:295.11274159;3645:328.19110147;6171:336.160346792;6172:345.847958639;1156:353.56802523600004;5331:360.69786021400006;6998:367.78399504400005;22:376.27868072200005;5328:386.90372865200004;6812:394.24327640700005;5979:399.18394966100004;5162:428.705189371;5193:429.700346404;5192:430.774137961;5191:439.218945286;2792:448.600407546;5190:470.98387559599996;5189:484.995174606;3663:503.938483186;11181:512.56709211;4266:517.369421506;5188:522.320134343;290:526.180651423;272:530.018488455;155:540.143545625;152:542.986878064;9507:551.935182466;10738:558.40639061;5187:569.06122885;9613:576.405401382;10000:587.892566342;5186:588.731666;5169:589.908214599;7851:594.312901939;6766:610.159917869;5603:633.9037849389999;5604:667.674971919;990:685.871090519;2650:699.3482322289999;10302:708.2306588569999;10301:719.2949185769999
0,9,default_vehtype,boarding,True,719.2949185769999,749.2949185769999,10301;-1;-1,10301;-1;-1,0.0,0.9621778124463304,0.9621778124463304,0,,0,7,1,7,,,
0,2,default_vehtype,route,False,420.0,796.9248733559999,8210.0;-1;-1,4420;-1;-1,4894.297,0.9350060741234096,0.9345166444234096,0.0,,0,,0,,,8210.0;1230;4949;4948;2104;9559;9557;9555;9553;9551;2103;11341;11342;4218;10897;9114;1280;7419;4;7418;5894;1081;7417;2039;10004;4488;4478;2192;5258;4406;505;2856;6273;4419;4420,8210.0:420;1230:440.86211525;4949:458.89618379;4948:467.818987119;2104:476.62647638199996;9559:483.14613905199997;9557:489.73883769199995;9555:495.81603436299997;9553:502.78431460599995;9551:508.98387169299997;2103:514.004115966;11341:516.154370977;11342:526.073058343;4218:535.1822623769999;10897:558.2829436869999;9114:573.613194437;1280:591.7096800769999;7419:609.2635770869999;4:615.8265507909999;7418:627.3681551709999;5894:638.1432141209999;1081:653.2312178309999;7417:679.7343074309998;2039:693.4810046609998;10004:702.1424219839998;4488:704.4500849379998;4478:705.4149281949998;2192:720.2971995549998;5258:725.0943752259998;4406:734.2772618739998;505:742.9084147649999;2856:750.1683915009999;6273:783.4296604009999;4419:796.1146550309999;4420:796.9248733559999
