sim_time,reservation_time_trigger,user_requests
0,0.0,0.13521
60,0.0,0.0
120,0.0,0.14769
180,0.0,0.15904
240,0.0,0.90264
300,0.0,0.0
360,0.0,0.79203
420,0.0,1.4437900000000001
480,0.0,1.59243
540,0.0,0.0
600,0.0,2.8530300000000004
660,0.0,0.0
720,0.0,0.68495
780,0.0,1.39205
840,0.0,2.57627
900,0.0,0.4727
960,0.0,0.8851100000000001
1020,0.0,1.22311
1080,0.0,1.27905
1140,0.0,0.7870900000000001
1200,0.0,2.89126
1260,0.0,1.5713599999999999
1320,0.0,0.72414
1380,0.0,0.0
1440,0.0,0.9222
1500,0.0,0.0
1560,0.0,1.03193
1620,0.0,0.0
1680,0.0,1.19425
1740,0.0,1.90008
1800,0.0,0.35328
1860,0.0,0.53965
1920,0.0,0.82999
1980,0.0,2.05724
2040,0.0,2.60273
2100,0.0,1.1877499999999999
2160,0.0,0.42785
2220,0.0,0.88918
2280,0.0,0.0
2340,0.0,0.61785
2400,0.0,0.0
2460,0.0,0.4049
2520,0.0,0.46062000000000003
2580,0.0,0.0
2640,0.0,2.63336
2700,0.0,0.79091
2760,0.0,1.56593
2820,0.0,0.63519
2880,0.0,0.79294
2940,0.0,0.0
3000,0.0,0.5482
3060,0.0,0.45564
3120,0.0,0.78365
3180,0.0,0.22872
3240,0.0,0.23464
3300,0.0,1.2858399999999999
3360,0.0,0.73359
3420,0.0,0.27732
3480,0.0,0.30476
3540,0.0,0.34265
3600,0.0,0.44207
3660,0.0,0.91966
3720,0.0,0.721
3780,0.0,0.29599
3840,0.0,0.834
3900,0.0,0.92687
3960,0.0,1.0469
4020,0.0,0.41515
4080,0.0,0.0
4140,0.0,0.27553
4200,0.0,1.76834
4260,0.0,1.6287500000000001
4320,0.0,1.89215
4380,0.0,1.62419
4440,0.0,0.21067
4500,0.0,1.17489
4560,0.0,0.85897
4620,0.0,1.35468
4680,0.0,0.53669
4740,0.0,0.0
4800,0.0,0.33987
4860,0.0,0.33642
4920,0.0,1.26045
4980,0.0,0.74672
5040,0.0,0.0
5100,0.0,0.52422
5160,0.0,0.0
5220,0.0,0.9926900000000001
5280,0.0,0.32175
5340,0.0,0.69767
5400,0.0,0.0
5460,0.0,0.0
5520,0.0,0.0
5580,0.0,0.20667
5640,0.0,1.23888
5700,0.0,0.37338
5760,0.0,0.63759
5820,0.0,0.22158
5880,0.0,0.0
5940,0.0,0.67757
6000,0.0,0.0
6060,0.0,0.75926
6120,0.0,0.50615
6180,0.0,0.26433
6240,0.0,0.0
6300,0.0,0.30888
6360,0.0,0.8688
6420,0.0,1.0159500000000001
6480,0.0,0.25299
6540,0.0,0.59077
6600,0.0,0.7924
6660,0.0,0.44118
6720,0.0,0.23677
6780,0.0,0.2228
6840,0.0,0.37172
6900,0.0,0.45781
6960,0.0,0.9198
7020,0.0,0.30115
7080,0.0,0.16633
7140,0.0,0.89143
7200,0.0,0.0
7260,0.0,0.0
7320,0.0,0.14893
7380,0.0,0.54771
7440,0.0,0.30056
7500,0.0,0.9312400000000001
7560,0.0,0.37361
7620,0.0,0.32508
7680,0.0,0.0
7740,0.0,0.9640299999999999
7800,0.0,0.39068
7860,0.0,0.6791400000000001
7920,0.0,0.15929
7980,0.0,0.70248
8040,0.0,0.54087
8100,0.0,0.0
8160,0.0,0.29688
8220,0.0,0.47051999999999994
8280,0.0,0.37222
8340,0.0,0.5771900000000001
8400,0.0,0.78539
8460,0.0,1.11834
8520,0.0,0.43576000000000004
8580,0.0,0.14984
8640,0.0,0.27242
8700,0.0,0.3537
8760,0.0,0.0
8820,0.0,0.44328
8880,0.0,0.94756
8940,0.0,0.31
9000,0.0,0.44296
9060,0.0,0.45828
9120,0.0,0.79675
9180,0.0,0.47979
9240,0.0,0.0
9300,0.0,0.24348
9360,0.0,0.0
9420,0.0,0.5004200000000001
9480,0.0,0.22843
9540,0.0,0.0
9600,0.0,0.0
9660,0.0,0.48461
9720,0.0,0.31364
9780,0.0,0.51861
9840,0.0,0.0
9900,0.0,0.2595
9960,0.0,1.4633800000000001
10020,0.0,0.7368000000000001
10080,0.0,0.26873
10140,0.0,0.0
10200,0.0,1.12791
10260,0.0,1.7343199999999999
10320,0.0,0.34321999999999997
10380,0.0,0.20818
10440,0.0,1.04884
10500,0.0,0.33511
10560,0.0,0.15473
10620,0.0,1.06093
10680,0.0,0.21706
10740,0.0,0.43937
10800,0.0,0.27206
10860,0.0,0.4461
10920,0.0,0.0
10980,0.0,0.26689
11040,0.0,0.0
11100,0.0,0.85265
11160,0.0,0.1605
11220,0.0,0.3088
11280,0.0,0.5093300000000001
11340,0.0,0.0
11400,0.0,0.1658
11460,0.0,0.43627
11520,0.0,0.559
11580,0.0,0.46093
11640,0.0,0.0
11700,0.0,0.47104999999999997
11760,0.0,0.0
11820,0.0,0.21257
11880,0.0,0.6015999999999999
11940,0.0,0.60287
12000,0.0,0.76318
12060,0.0,0.22362
12120,0.0,0.36412
12180,0.0,0.41434000000000004
12240,0.0,0.16211
12300,0.0,0.21713
12360,0.0,0.22285
12420,0.0,0.50078
12480,0.0,0.22973
12540,0.0,1.21324
12600,0.0,0.67596
12660,0.0,0.0
12720,0.0,0.40331
12780,0.0,0.2225
12840,0.0,0.223
12900,0.0,0.5247999999999999
12960,0.0,0.69078
13020,0.0,0.22371
13080,0.0,0.0
13140,0.0,0.24202
13200,0.0,0.6175200000000001
13260,0.0,0.21728
13320,0.0,0.5821000000000001
13380,0.0,0.59152
13440,0.0,0.0
13500,0.0,0.44579
13560,0.0,0.63057
13620,0.0,0.41773000000000005
13680,0.0,0.36026
13740,0.0,0.16677
13800,0.0,0.19685
13860,0.0,0.6673
13920,0.0,0.0
13980,0.0,0.36041999999999996
14040,0.0,0.84488
14100,0.0,0.24707
14160,0.0,0.0
14220,0.0,0.2664
14280,0.0,0.0
14340,0.0,0.54727
14400,0.0,0.0
14460,0.0,1.56473
14520,0.0,0.39369
14580,0.0,0.28752
14640,0.0,0.0
14700,0.0,0.8513900000000001
14760,0.0,0.1609
14820,0.0,0.0
14880,0.0,0.22922
14940,0.0,0.41223
15000,0.0,0.45882
15060,0.0,0.46193
15120,0.0,0.50583
15180,0.0,0.41797
15240,0.0,0.31299
15300,0.0,0.41435
15360,0.0,0.45457
15420,0.0,0.25265
15480,0.0,0.84775
15540,0.0,0.0
15600,0.0,0.0
15660,0.0,0.4414
15720,0.0,0.0
15780,0.0,0.0
15840,0.0,0.24395
15900,0.0,0.21985
15960,0.0,0.39198
16020,0.0,0.56799
16080,0.0,0.9143600000000001
16140,0.0,0.0
16200,0.0,0.40816
16260,0.0,0.16677
16320,0.0,0.15698
16380,0.0,0.68262
16440,0.0,0.8017299999999999
16500,0.0,0.97919
16560,0.0,0.1755
16620,0.0,0.22596
16680,0.0,0.83527
16740,0.0,0.0
16800,0.0,0.23486
16860,0.0,0.22953
16920,0.0,0.37698
16980,0.0,0.73423
17040,0.0,0.0
17100,0.0,0.0
17160,0.0,0.59578
17220,0.0,0.662
17280,0.0,0.0
17340,0.0,0.46775999999999995
17400,0.0,0.2167
17460,0.0,0.22454
17520,0.0,0.22616
17580,0.0,0.0
17640,0.0,0.22451
17700,0.0,0.22511
17760,0.0,0.87962
17820,0.0,0.5524
17880,0.0,0.21419
17940,0.0,0.26099
18000,0.0,0.35252
18060,0.0,0.89379
18120,0.0,0.0
18180,0.0,0.49451
18240,0.0,0.6367499999999999
18300,0.0,0.21447
18360,0.0,0.0
18420,0.0,0.34337
18480,0.0,0.0
18540,0.0,0.43942
18600,0.0,0.7616799999999999
18660,0.0,1.3645999999999998
18720,0.0,0.23826
18780,0.0,1.03131
18840,0.0,0.22995
18900,0.0,1.10309
18960,0.0,0.80749
19020,0.0,0.36555
19080,0.0,0.9262900000000001
19140,0.0,0.37995
19200,0.0,0.29721
19260,0.0,0.4689
19320,0.0,0.21218
19380,0.0,0.20231
19440,0.0,0.42493000000000003
19500,0.0,0.0
19560,0.0,0.8219099999999999
19620,0.0,0.3755
19680,0.0,0.0
19740,0.0,0.39671999999999996
19800,0.0,0.7299
19860,0.0,0.21385
19920,0.0,0.44440999999999997
19980,0.0,0.6679600000000001
20040,0.0,0.67826
20100,0.0,1.1369
20160,0.0,0.44744
20220,0.0,0.68843
20280,0.0,0.25797
20340,0.0,0.16133
20400,0.0,0.0
20460,0.0,0.29182
20520,0.0,0.46463
20580,0.0,0.42945
20640,0.0,0.24799
20700,0.0,0.0
20760,0.0,0.22519
20820,0.0,0.2069
20880,0.0,0.0
20940,0.0,0.0
21000,0.0,0.23199
21060,0.0,0.15761
21120,0.0,0.54352
21180,0.0,0.22119
21240,0.0,0.42971000000000004
21300,0.0,0.22861
21360,0.0,0.59373
21420,0.0,0.2298
21480,0.0,0.45455999999999996
21540,0.0,0.23
21600,0.0,4.22723
21660,0.0,4.104849999999999
21720,0.0,6.29597
21780,0.0,4.11555
21840,0.0,2.26275
21900,0.0,5.202950000000001
21960,0.0,5.76772
22020,0.0,3.46881
22080,0.0,4.121560000000001
22140,0.0,4.27884
22200,0.0,4.488910000000001
22260,0.0,3.35725
22320,0.0,4.47814
22380,0.0,4.51573
22440,0.0,3.8326000000000002
22500,0.0,6.1385000000000005
22560,0.0,7.00244
22620,0.0,6.69674
22680,0.0,4.589779999999999
22740,0.0,5.1172
22800,0.0,5.2418000000000005
22860,0.0,3.9244000000000003
22920,0.0,2.78864
22980,0.0,5.9405
23040,0.0,4.569940000000001
23100,0.0,6.08421
23160,0.0,3.02052
23220,0.0,4.5947499999999994
23280,0.0,4.26945
23340,0.0,3.38759
23400,0.0,3.2379299999999995
23460,0.0,1.9321499999999998
23520,0.0,3.51651
23580,0.0,2.36958
23640,0.0,3.0820400000000006
23700,0.0,3.9229
23760,0.0,3.9030300000000007
23820,0.0,3.9662
23880,0.0,4.39009
23940,0.0,3.7810299999999994
24000,0.0,4.3912
24060,0.0,4.7166
24120,0.0,4.51583
24180,0.0,3.4924299999999997
24240,0.0,2.00657
24300,0.0,1.54774
24360,0.0,2.49129
24420,0.0,2.51532
24480,0.0,3.0409
24540,0.0,2.9117900000000008
24600,0.0,2.5436299999999994
24660,0.0,2.5991099999999996
24720,0.0,1.5695800000000002
24780,0.0,2.1890799999999997
24840,0.0,2.15495
24900,0.0,1.46672
24960,0.0,1.88862
25020,0.0,2.5480300000000002
25080,0.0,2.9032299999999998
25140,0.0,3.0494
25200,0.0,2.5166399999999998
25260,0.0,2.76411
25320,0.0,2.97894
25380,0.0,3.1129100000000003
25440,0.0,3.9770800000000004
25500,0.0,4.04754
25560,0.0,2.8252800000000002
25620,0.0,3.1786600000000007
25680,0.0,4.5921
25740,0.0,2.67341
25800,0.0,4.59075
25860,0.0,2.60847
25920,0.0,5.9154599999999995
25980,0.0,3.19474
26040,0.0,4.1288100000000005
26100,0.0,4.73108
26160,0.0,2.98319
26220,0.0,2.4979
26280,0.0,3.24983
26340,0.0,2.43903
26400,0.0,4.361020000000001
26460,0.0,3.6355899999999997
26520,0.0,4.72741
26580,0.0,3.3466499999999995
26640,0.0,3.7419500000000006
26700,0.0,4.11532
26760,0.0,3.4072299999999998
26820,0.0,5.638670000000001
26880,0.0,3.00474
26940,0.0,3.16425
27000,0.0,4.16293
27060,0.0,3.3226299999999993
27120,0.0,5.040950000000001
27180,0.0,4.412089999999999
27240,0.0,4.537059999999999
27300,0.0,2.38625
27360,0.0,2.38646
27420,0.0,1.83288
27480,0.0,1.20388
27540,0.0,2.67111
27600,0.0,2.8164300000000004
27660,0.0,4.55471
27720,0.0,4.744179999999999
27780,0.0,5.3932
27840,0.0,2.97416
27900,0.0,4.05734
27960,0.0,4.46213
28020,0.0,5.19614
28080,0.0,3.5364699999999996
28140,0.0,3.39013
28200,0.0,5.65374
28260,0.0,2.38858
28320,0.0,3.7883899999999997
28380,0.0,3.6493399999999996
28440,0.0,3.1892200000000006
28500,0.0,2.74058
28560,0.0,2.19071
28620,0.0,2.69535
28680,0.0,3.53399
28740,0.0,2.86186
28800,0.0,3.14461
28860,0.0,2.27954
28920,0.0,5.89668
28980,0.0,4.04152
29040,0.0,3.8801899999999994
29100,0.0,3.41089
29160,0.0,3.54246
29220,0.0,2.8616599999999996
29280,0.0,2.8630199999999997
29340,0.0,4.670680000000001
29400,0.0,3.3472899999999997
29460,0.0,5.2360299999999995
29520,0.0,5.390720000000002
29580,0.0,3.5235300000000005
29640,0.0,3.4232199999999997
29700,0.0,2.7504799999999996
29760,0.0,5.438229999999999
29820,0.0,2.8126800000000003
29880,0.0,3.7311600000000005
29940,0.0,2.72299
30000,0.0,2.91859
30060,0.0,3.39005
30120,0.0,3.3527699999999996
30180,0.0,4.132700000000001
30240,0.0,5.22793
30300,0.0,4.36231
30360,0.0,5.284279999999999
30420,0.0,4.27137
30480,0.0,3.0030700000000006
30540,0.0,3.09828
30600,0.0,2.8510799999999996
30660,0.0,7.23371
30720,0.0,5.2708200000000005
30780,0.0,4.750939999999999
30840,0.0,3.9892
30900,0.0,5.25532
30960,0.0,2.0249
31020,0.0,5.29374
31080,0.0,4.46351
31140,0.0,4.07158
31200,0.0,3.61883
31260,0.0,4.828930000000001
31320,0.0,2.6719
31380,0.0,5.264880000000001
31440,0.0,4.34592
31500,0.0,5.138019999999999
31560,0.0,2.5977099999999993
31620,0.0,5.293330000000001
31680,0.0,2.36755
31740,0.0,3.8814699999999998
31800,0.0,2.9367099999999997
31860,0.0,4.63006
31920,0.0,2.9809
31980,0.0,5.319559999999999
32040,0.0,5.15925
32100,0.0,5.273440000000001
32160,0.0,5.889890000000001
32220,0.0,4.12119
32280,0.0,3.1132099999999996
32340,0.0,3.4199800000000002
32400,0.0,12.015940000000002
32460,0.0,7.419779999999999
32520,0.0,8.454109999999998
32580,0.0,9.96815
32640,0.0,7.928470000000001
32700,0.0,11.794649999999997
32760,0.0,8.634500000000001
32820,0.0,9.33408
32880,0.0,8.65894
32940,0.0,10.66426
33000,0.0,12.4953
33060,0.0,10.32404
33120,0.0,8.99434
33180,0.0,9.795530000000005
33240,0.0,10.088209999999997
33300,0.0,11.25441
33360,0.0,8.45565
33420,0.0,9.17291
33480,0.0,12.54937
33540,0.0,9.377379999999997
33600,0.0,9.710149999999999
33660,0.0,10.344440000000002
33720,0.0,10.751170000000002
33780,0.0,9.2401
33840,0.0,10.63189
33900,0.0,12.57286
33960,0.0,11.79892
34020,0.0,9.239479999999999
34080,0.0,8.32415
34140,0.0,10.443049999999998
34200,0.0,7.989330000000001
34260,0.0,10.442490000000001
34320,0.0,8.76413
34380,0.0,7.409400000000001
34440,0.0,6.3325200000000015
34500,0.0,6.24298
34560,0.0,7.369689999999999
34620,0.0,13.727790000000002
34680,0.0,12.32236
34740,0.0,8.609089999999998
34800,0.0,10.58787
34860,0.0,10.63505
34920,0.0,7.66751
34980,0.0,12.012429999999998
35040,0.0,7.600890000000001
35100,0.0,9.633869999999998
35160,0.0,8.28965
35220,0.0,13.8392
35280,0.0,10.817610000000004
35340,0.0,10.498149999999999
35400,0.0,9.55265
35460,0.0,11.705979999999998
35520,0.0,9.0242
35580,0.0,8.873540000000002
35640,0.0,7.90003
35700,0.0,7.83512
35760,0.0,11.868709999999998
35820,0.0,7.350910000000001
35880,0.0,9.878770000000003
35940,0.0,10.304650000000002
36000,0.0,11.199349999999997
36060,0.0,10.302480000000003
36120,0.0,7.697030000000001
36180,0.0,9.866449999999999
36240,0.0,11.916240000000002
36300,0.0,11.093100000000002
36360,0.0,8.109559999999998
36420,0.0,10.07793
36480,0.0,11.869670000000001
36540,0.0,14.74726
36600,0.0,9.834320000000002
36660,0.0,8.66395
36720,0.0,8.969009999999999
36780,0.0,12.985130000000002
36840,0.0,7.0697399999999995
36900,0.0,8.844499999999998
36960,0.0,8.343330000000002
37020,0.0,7.988810000000002
37080,0.0,9.88052
37140,0.0,10.527649999999998
37200,0.0,9.986650000000003
37260,0.0,10.205900000000002
37320,0.0,9.076369999999997
37380,0.0,10.763079999999999
37440,0.0,11.366740000000002
37500,0.0,9.522
37560,0.0,9.318780000000002
37620,0.0,7.29567
37680,0.0,10.18406
37740,0.0,5.763689999999999
37800,0.0,6.9145
37860,0.0,10.19225
37920,0.0,8.950920000000002
37980,0.0,8.43126
38040,0.0,12.57639
38100,0.0,9.994820000000002
38160,0.0,11.455750000000004
38220,0.0,9.27401
38280,0.0,8.89486
38340,0.0,10.017610000000003
38400,0.0,8.545200000000001
38460,0.0,11.601289999999999
38520,0.0,10.68055
38580,0.0,11.73474
38640,0.0,11.174129999999998
38700,0.0,8.760269999999998
38760,0.0,11.354330000000003
38820,0.0,6.529789999999998
38880,0.0,11.623130000000003
38940,0.0,9.591719999999997
39000,0.0,12.136220000000002
39060,0.0,7.97783
39120,0.0,5.187739999999999
39180,0.0,8.14075
39240,0.0,10.096229999999998
39300,0.0,8.234549999999999
39360,0.0,10.984050000000002
39420,0.0,8.982420000000001
39480,0.0,7.725840000000002
39540,0.0,10.38207
39600,0.0,10.8851
39660,0.0,9.10555
39720,0.0,10.04448
39780,0.0,7.965430000000001
39840,0.0,7.488740000000002
39900,0.0,11.78584
39960,0.0,10.58529
40020,0.0,7.898640000000001
40080,0.0,10.256010000000003
40140,0.0,12.30522
40200,0.0,9.095979999999999
40260,0.0,10.20962
40320,0.0,8.891029999999999
40380,0.0,8.4381
40440,0.0,7.653619999999998
40500,0.0,9.2162
40560,0.0,11.244739999999998
40620,0.0,7.86626
40680,0.0,7.424639999999998
40740,0.0,10.1366
40800,0.0,7.071999999999999
40860,0.0,7.68093
40920,0.0,10.42364
40980,0.0,10.035850000000002
