request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
3,BasicRequest,1,120,120,6011;-1;-1,4994;-1;-1,,,,,242.18149316399996,3232.8820000000005,0:t_wait:89.90625873900001;t_drive:272.18149316399996;fare:323,,,0,10,209.906258739,482.087751903,323,0
1,BasicRequest,1,0,0,4074;-1;-1,10159;-1;-1,,,,,570.0834843480001,7760.596,0:t_wait:0;t_drive:600.0834843480001;fare:776,,,0,29,0,600.0834843480001,776,0
9,BasicRequest,1,360,360,5881;-1;-1,1558;-1;-1,,,,,327.694734177,4129.030000000001,0:t_wait:0;t_drive:357.694734177;fare:412,,,0,21,360,717.6947341769998,412,0
14,BasicRequest,1,420,420,7173;-1;-1,5106;-1;-1,,,,,444.392683078,5323.136,0:t_wait:0;t_drive:474.392683078;fare:532,,,0,19,420.0,894.3926830780001,532,0
13,BasicRequest,1,420,420,5106;-1;-1,7746;-1;-1,,,,,91.702886387,992.331,0:t_wait:325.858342064;t_drive:121.70288638700004;fare:100,,,0,25,745.8583420640001,867.5612284510001,100,0
8,BasicRequest,1,360,360,5255;-1;-1,6141;-1;-1,,,,,496.6311523339999,5875.488999999999,0:t_wait:0;t_drive:526.6311523339999;fare:587,,,0,27,360.0,886.6311523339999,587,0
16,BasicRequest,1,480,480,5410;-1;-1,4881;-1;-1,,,,,394.19096406200003,4626.17,0:t_wait:0;t_drive:424.19096406200003;fare:462,,,0,38,480,904.1909640619998,462,0
17,BasicRequest,1,480,480,7547;-1;-1,605;-1;-1,,,,,473.617264862,6824.736000000001,0:t_wait:0;t_drive:503.61726486199996;fare:682,,,0,12,480.0,983.617264862,682,0
12,BasicRequest,1,420,420,1521;-1;-1,185;-1;-1,,,,,312.936603525,3980.2189999999996,0:t_wait:202.661918239;t_drive:342.936603525;fare:398,,,0,15,622.661918239,965.598521764,398,0
19,BasicRequest,1,600,600,1174;-1;-1,8523;-1;-1,,,,,222.168342226,2545.617,0:t_wait:325.5494991620001;t_drive:252.16834222600005;fare:254,,,0,11,925.5494991620001,1177.717841388,254,0
34,BasicRequest,1,1020,1020,605;-1;-1,10186;-1;-1,,,,,240.890316622,3230.4660000000003,0:t_wait:0;t_drive:270.890316622;fare:323,,,0,12,1020.0,1290.890316621999,323,0
28,BasicRequest,1,840,840,2074;-1;-1,5311;-1;-1,,,,,196.942244791,1912.7110000000002,0:t_wait:210.01107461900006;t_drive:226.9422447909999;fare:191,,,0,13,1050.011074619,1276.95331941,191,0
18,BasicRequest,1,600,600,4420;-1;-1,7899;-1;-1,,,,,456.302278056,6501.621999999999,0:t_wait:208.07219514500002;t_drive:486.302278056;fare:650,,,0,30,808.0721951449999,1294.3744732009998,650,0
7,BasicRequest,1,240,240,10301;-1;-1,4428;-1;-1,,,,,592.844517463,7300.671,0:t_wait:280.915477731;t_drive:871.459530654;fare:730,,,0,2,520.9154777310001,1392.3750083850002,730,0
23,BasicRequest,1,780,780,5681;-1;-1,4994;-1;-1,,,,,667.772126492,9053.508999999998,0:t_wait:0;t_drive:697.7721264920001;fare:905,,,0,14,780.0,1477.772126492,905,0
