request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2241,BasicRequest,1,46440,46440,4078;-1;-1,2944;-1;-1,,,,,977.2606472684814,18524.007999999998,0:,,,,,,,,0
3081,BasicRequest,1,46440,46440,5119;-1;-1,2944;-1;-1,,,,,1286.3651910969515,23131.246,0:,,,,,,,,0
419,BasicRequest,1,46500,46500,3028;-1;-1,2944;-1;-1,,,,,100.0934860791131,1298.0140000000001,0:,,,,,,,,0
1935,BasicRequest,1,46500,46500,3293;-1;-1,2944;-1;-1,,,,,3045.0405504288365,72956.44,0:,,,,,,,,0
2037,BasicRequest,1,46500,46500,6400;-1;-1,2944;-1;-1,,,,,4452.307736777593,106215.37299999999,0:,,,,,,,,0
25,BasicRequest,1,43560,43560,2379;-1;-1,2944;-1;-1,,,,,2051.6350574657754,43036.007,0:t_wait:198.83878632278356;t_drive:2351.635057465777;fare:4303,,,0.0,4.0,43758.8387863228,46547.974990352224,4303.0,0
1687,BasicRequest,1,45540,45540,6968;-1;-1,2944;-1;-1,,,,,635.7403684889254,10073.012000000002,0:t_wait:72.23462186329562;t_drive:935.7403684889287;fare:1007,,,0.0,4.0,45612.234621863296,46547.974990352224,1007.0,0
2919,BasicRequest,1,46560,46560,4951;-1;-1,2944;-1;-1,,,,,1799.5970441123773,32809.02099999999,0:,,,,,,,,0
2995,BasicRequest,1,46560,46560,12190;-1;-1,2944;-1;-1,,,,,4669.887998793326,107817.032,0:,,,,,,,,0
57,BasicRequest,1,46620,46620,9495;-1;-1,2944;-1;-1,,,,,3453.6780399529534,77725.0,0:,,,,,,,,0
1425,BasicRequest,1,46620,46620,10129;-1;-1,2944;-1;-1,,,,,746.8954470284295,11654.356999999998,0:,,,,,,,,0
2741,BasicRequest,1,46620,46620,8397;-1;-1,2944;-1;-1,,,,,6057.301250144908,132938.41599999997,0:,,,,,,,,0
2170,BasicRequest,1,44100,44100,2944;-1;-1,4085;-1;-1,,,,,1527.8833110433388,25812.455,0:t_wait:230.43392841012974;t_drive:2328.121385627972;fare:2581,,,0,8,44330.43392841012,46658.55531403811,2581,0
2166,BasicRequest,1,44100,44100,2944;-1;-1,4085;-1;-1,,,,,1527.8833110433388,25812.455,0:t_wait:230.43392841012974;t_drive:2328.121385627972;fare:2581,,,0,8,44330.43392841012,46658.55531403811,2581,0
418,BasicRequest,1,45900,45900,2944;-1;-1,3028;-1;-1,,,,,102.26828723615432,1528.978,0:t_wait:335.0349482916863;t_drive:402.2682872361547;fare:152,,,0,29,46235.03494829168,46637.30323552784,152,0
426,BasicRequest,1,45900,45900,2944;-1;-1,3028;-1;-1,,,,,102.26828723615432,1528.978,0:t_wait:335.0349482916863;t_drive:402.2682872361547;fare:152,,,0,29,46235.03494829168,46637.30323552784,152,0
132,BasicRequest,1,46800,46800,2944;-1;-1,9601;-1;-1,,,,,2495.866495633079,48084.290000000015,0:,,,,,,,,0
176,BasicRequest,1,46800,46800,2944;-1;-1,11239;-1;-1,,,,,7458.070871702071,161832.199,0:,,,,,,,,0
444,BasicRequest,1,46800,46800,2944;-1;-1,10119;-1;-1,,,,,369.4856310679246,5202.864,0:,,,,,,,,0
450,BasicRequest,1,46800,46800,2944;-1;-1,10119;-1;-1,,,,,369.4856310679246,5202.864,0:,,,,,,,,0
652,BasicRequest,1,46800,46800,2944;-1;-1,10011;-1;-1,,,,,539.7767935063022,7998.8150000000005,0:,,,,,,,,0
670,BasicRequest,1,46800,46800,2944;-1;-1,9912;-1;-1,,,,,464.5221999753798,6996.762000000001,0:,,,,,,,,0
730,BasicRequest,1,46800,46800,2944;-1;-1,10066;-1;-1,,,,,504.71639808156476,7932.164999999999,0:,,,,,,,,0
820,BasicRequest,1,46800,46800,2944;-1;-1,3022;-1;-1,,,,,644.1682071189548,10175.414,0:,,,,,,,,0
958,BasicRequest,1,46800,46800,2944;-1;-1,5938;-1;-1,,,,,560.0764905754063,9029.676,0:,,,,,,,,0
1180,BasicRequest,1,46800,46800,2944;-1;-1,10077;-1;-1,,,,,683.7305003670746,10172.905999999999,0:,,,,,,,,0
1200,BasicRequest,1,46800,46800,2944;-1;-1,10838;-1;-1,,,,,583.0667724543289,8374.699,0:,,,,,,,,0
1264,BasicRequest,1,46800,46800,2944;-1;-1,10742;-1;-1,,,,,729.9082138411409,12818.132000000001,0:,,,,,,,,0
1318,BasicRequest,1,46800,46800,2944;-1;-1,10069;-1;-1,,,,,857.5229659797563,14459.853,0:,,,,,,,,0
1330,BasicRequest,1,46800,46800,2944;-1;-1,3014;-1;-1,,,,,516.6024678743784,8318.949,0:,,,,,,,,0
1454,BasicRequest,1,46800,46800,2944;-1;-1,3015;-1;-1,,,,,513.5186794049224,8271.469000000001,0:,,,,,,,,0
1604,BasicRequest,1,46800,46800,2944;-1;-1,2950;-1;-1,,,,,427.4991358974962,6532.039,0:,,,,,,,,0
1750,BasicRequest,1,46800,46800,2944;-1;-1,2967;-1;-1,,,,,580.4533852657621,9273.165999999997,0:,,,,,,,,0
1996,BasicRequest,1,46800,46800,2944;-1;-1,10231;-1;-1,,,,,2783.647793040735,50166.23000000001,0:,,,,,,,,0
2210,BasicRequest,1,46800,46800,2944;-1;-1,6606;-1;-1,,,,,1243.45408671778,22568.07,0:,,,,,,,,0
2268,BasicRequest,1,46800,46800,2944;-1;-1,4091;-1;-1,,,,,1071.370434477776,16861.260000000002,0:,,,,,,,,0
2324,BasicRequest,1,46800,46800,2944;-1;-1,11933;-1;-1,,,,,5977.499298031742,131045.10399999999,0:,,,,,,,,0
2354,BasicRequest,1,46800,46800,2944;-1;-1,7982;-1;-1,,,,,7600.319318524396,168390.289,0:,,,,,,,,0
2436,BasicRequest,1,46800,46800,2944;-1;-1,11863;-1;-1,,,,,2887.0806026738906,60700.063,0:,,,,,,,,0
2486,BasicRequest,1,46800,46800,2944;-1;-1,11843;-1;-1,,,,,6656.37807403708,155646.94400000002,0:,,,,,,,,0
2574,BasicRequest,1,46800,46800,2944;-1;-1,10528;-1;-1,,,,,2653.121018886495,54763.099,0:,,,,,,,,0
2624,BasicRequest,1,46800,46800,2944;-1;-1,4629;-1;-1,,,,,4091.6538903835426,89871.08200000001,0:,,,,,,,,0
2684,BasicRequest,1,46800,46800,2944;-1;-1,12041;-1;-1,,,,,8509.284569081186,197837.147,0:,,,,,,,,0
