sim_time,reservation_time_trigger,user_requests,request_batch
0,0.0,0.0,0.17042
60,0.0,0.0,0.0124
120,0.0,0.0,0.01383
180,0.0,0.0,0.01445
240,0.0,0.0,0.01369
300,0.0,0.0,0.0132
360,0.0,0.0,0.01379
420,0.0,0.0,0.01351
480,0.0,0.0,0.01261
540,0.0,0.0,0.01271
600,0.0,0.0,0.01331
660,0.0,0.0,0.01313
720,0.0,0.0,0.01328
780,0.0,0.0,0.0125
840,0.0,0.0,0.01288
900,0.0,0.0,0.01332
960,0.0,0.0,0.01402
1020,0.0,0.0,0.01218
1080,0.0,0.0,0.01359
1140,0.0,0.0,0.01551
1200,0.0,0.0,0.01281
1260,0.0,0.0,0.01282
1320,0.0,0.0,0.01363
1380,0.0,0.0,0.01382
1440,0.0,0.0,0.0126
1500,0.0,0.0,0.01269
1560,0.0,0.0,0.01515
1620,0.0,0.0,0.0127
1680,0.0,0.0,0.01289
1740,0.0,0.0,0.01258
1800,0.0,0.0,0.01409
1860,0.0,0.0,0.01314
1920,0.0,0.0,0.01289
1980,0.0,0.0,0.01277
2040,0.0,0.0,0.01221
2100,0.0,0.0,0.01219
2160,0.0,0.0,0.0138
2220,0.0,0.0,0.01299
2280,0.0,0.0,0.01238
2340,0.0,0.0,0.01271
2400,0.0,0.0,0.01255
2460,0.0,0.0,0.01268
2520,0.0,0.0,0.01232
2580,0.0,0.0,0.01249
2640,0.0,0.0,0.01276
2700,0.0,0.0,0.01234
2760,0.0,0.0,0.0131
2820,0.0,0.0,0.0131
2880,0.0,0.0,0.01223
2940,0.0,0.0,0.01157
3000,0.0,0.0,0.01378
3060,0.0,0.0,0.01319
3120,0.0,0.0,0.01291
3180,0.0,0.0,0.012
3240,0.0,0.0,0.01191
3300,0.0,0.0,0.01234
3360,0.0,0.0,0.01269
3420,0.0,0.0,0.01234
3480,0.0,0.0,0.01289
3540,0.0,0.0,0.01266
3600,0.0,0.0,0.01276
3660,0.0,0.0,0.01273
3720,0.0,0.0,0.01217
3780,0.0,0.0,0.01234
3840,0.0,0.0,0.01327
3900,0.0,0.0,0.0133
3960,0.0,0.0,0.01298
4020,0.0,0.0,0.01282
4080,0.0,0.0,0.01277
4140,0.0,0.0,0.01266
4200,0.0,0.0,0.01298
4260,0.0,0.0,0.01177
4320,0.0,0.0,0.0138
4380,0.0,0.0,0.01313
4440,0.0,0.0,0.01173
4500,0.0,0.0,0.0126
4560,0.0,0.0,0.01212
4620,0.0,0.0,0.0127
4680,0.0,0.0,0.01462
4740,0.0,0.0,0.01267
4800,0.0,0.0,0.01288
4860,0.0,0.0,0.01264
4920,0.0,0.0,0.0132
4980,0.0,0.0,0.01285
5040,0.0,0.0,0.01174
5100,0.0,0.0,0.01236
5160,0.0,0.0,0.01279
5220,0.0,0.0,0.01211
5280,0.0,0.0,0.01263
5340,0.0,0.0,0.01366
5400,0.0,0.0,0.01242
5460,0.0,0.0,0.01243
5520,0.0,0.0,0.01345
5580,0.0,0.0,0.01673
5640,0.0,0.0,0.01234
5700,0.0,0.0,0.01258
5760,0.0,0.0,0.01256
5820,0.0,0.0,0.01304
5880,0.0,0.0,0.01318
5940,0.0,0.0,0.01288
6000,0.0,0.0,0.01263
6060,0.0,0.0,0.01197
6120,0.0,0.0,0.012
6180,0.0,0.0,0.01245
6240,0.0,0.0,0.01259
6300,0.0,0.0,0.01388
6360,0.0,0.0,0.0129
6420,0.0,0.0,0.01258
6480,0.0,0.0,0.01236
6540,0.0,0.0,0.01281
6600,0.0,0.0,0.01163
6660,0.0,0.0,0.01276
