request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
1943,BasicRequest,1,27720,27720,7495;-1;-1,2944;-1;-1,,,,,8665.238070330963,205403.55099999998,0:,,,,,,,,0
197,BasicRequest,1,27780,27780,7369;-1;-1,2944;-1;-1,,,,,4707.522809870958,96029.81,0:,,,,,,,,0
1925,BasicRequest,1,27780,27780,3293;-1;-1,2944;-1;-1,,,,,3045.0405504288365,72956.44,0:,,,,,,,,0
1955,BasicRequest,1,27780,27780,10228;-1;-1,2944;-1;-1,,,,,3502.4337446708096,63901.185000000005,0:,,,,,,,,0
2491,BasicRequest,1,27780,27780,10469;-1;-1,2944;-1;-1,,,,,4590.790058276054,93098.299,0:,,,,,,,,0
2697,BasicRequest,1,27780,27780,12127;-1;-1,2944;-1;-1,,,,,4202.746489280154,93701.23200000002,0:,,,,,,,,0
9,BasicRequest,1,27840,27840,2375;-1;-1,2944;-1;-1,,,,,2282.233090776711,48492.60800000001,0:,,,,,,,,0
31,BasicRequest,1,27840,27840,2382;-1;-1,2944;-1;-1,,,,,1856.1268052811747,38379.47900000001,0:,,,,,,,,0
1807,BasicRequest,1,27840,27840,3105;-1;-1,2944;-1;-1,,,,,2047.2198312212167,44733.561,0:,,,,,,,,0
1843,BasicRequest,1,27840,27840,3171;-1;-1,2944;-1;-1,,,,,2077.248750078596,41268.163,0:,,,,,,,,0
2147,BasicRequest,1,27840,27840,4085;-1;-1,2944;-1;-1,,,,,1526.8457267854053,25785.518000000004,0:,,,,,,,,0
2169,BasicRequest,1,27840,27840,4085;-1;-1,2944;-1;-1,,,,,1526.8457267854053,25785.518000000004,0:,,,,,,,,0
2337,BasicRequest,1,27840,27840,10361;-1;-1,2944;-1;-1,,,,,1909.026880891152,37632.649999999994,0:,,,,,,,,0
2393,BasicRequest,1,27840,27840,11831;-1;-1,2944;-1;-1,,,,,1988.956702867935,43212.64,0:,,,,,,,,0
2453,BasicRequest,1,27840,27840,11861;-1;-1,2944;-1;-1,,,,,2628.7096985767776,58987.99100000001,0:,,,,,,,,0
2769,BasicRequest,1,27840,27840,4894;-1;-1,2944;-1;-1,,,,,1239.880068256095,22319.216999999997,0:,,,,,,,,0
2819,BasicRequest,1,27840,27840,4906;-1;-1,2944;-1;-1,,,,,1464.6955226959908,30749.931000000004,0:,,,,,,,,0
421,BasicRequest,1,27840,27840,3028;-1;-1,2944;-1;-1,,,,,100.0934860791131,1298.0140000000001,0:t_wait:102.26828723615472;t_drive:130.09348607911306;fare:129,,,0.0,0.0,28530.264740000326,28660.358226079436,129.0,0
443,BasicRequest,1,27840,27840,10119;-1;-1,2944;-1;-1,,,,,363.8705370301306,4998.65,0:t_wait:369.48563106792426;t_drive:450.87259501151857;fare:499,,,0.0,0.0,28209.48563106792,28660.358226079436,499.0,0
55,BasicRequest,1,28680,28680,9495;-1;-1,2944;-1;-1,,,,,3453.6780399529534,77725.0,0:,,,,,,,,0
161,BasicRequest,1,28680,28680,9674;-1;-1,2944;-1;-1,,,,,5086.784902458792,84531.877,0:,,,,,,,,0
1911,BasicRequest,1,28680,28680,11385;-1;-1,2944;-1;-1,,,,,3184.4706758076027,67099.829,0:,,,,,,,,0
1921,BasicRequest,1,28680,28680,3303;-1;-1,2944;-1;-1,,,,,3735.304618095094,86480.289,0:,,,,,,,,0
2709,BasicRequest,1,28680,28680,10703;-1;-1,2944;-1;-1,,,,,4319.160306551731,100773.61600000001,0:,,,,,,,,0
2917,BasicRequest,1,28680,28680,4949;-1;-1,2944;-1;-1,,,,,3445.6475839768655,72900.043,0:,,,,,,,,0
2919,BasicRequest,1,28680,28680,4949;-1;-1,2944;-1;-1,,,,,3445.6475839768655,72900.043,0:,,,,,,,,0
97,BasicRequest,1,28740,28740,9596;-1;-1,2944;-1;-1,,,,,1369.74343588103,28280.190000000002,0:,,,,,,,,0
1815,BasicRequest,1,28740,28740,3148;-1;-1,2944;-1;-1,,,,,2259.7200744512675,51121.64,0:,,,,,,,,0
1981,BasicRequest,1,28740,28740,10231;-1;-1,2944;-1;-1,,,,,2754.9011560894087,49986.738000000005,0:,,,,,,,,0
2101,BasicRequest,1,28740,28740,7003;-1;-1,2944;-1;-1,,,,,1256.8505773708016,22773.595999999998,0:,,,,,,,,0
