,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.5635306509962736,9377,388.9273590800003
1,0,1,0.463623274274015,5238,0.0
2,0,2,0.7741682023701827,1174,30.0
3,0,3,0.6472152749824052,7746,0.0
4,0,4,0.8082892007490197,7173,668.7981580490014
5,0,5,0.744772420514819,5881,0.0
6,0,6,0.7972067751180716,8245,0.0
7,0,7,0.87012352209104,5881,0.0
8,0,8,0.5728236908850033,8357,468.2183959599788
9,0,9,0.8401436096180965,10159,0.0
10,0,10,0.8867763584463303,63,0.0
11,0,11,0.7160406145971526,11447,297.60071547298867
12,0,12,0.6730395682087845,8658,0.0
13,0,13,0.49573418918060136,4541,223.50864148899564
14,0,14,0.48472176245957077,4074,723.5674502930342
15,0,15,0.518470979530718,7547,0.0
16,0,16,0.4406436278272655,677,0.0
17,0,17,0.8971561695247924,4994,0.0
18,0,18,0.7688498567388806,8002,0.0
19,0,19,0.532400479199237,4994,0.0
20,0,20,0.6988730318984167,5311,1455.7219026810053
21,0,21,0.5161229370035586,5881,0.0
22,0,22,0.7324186330829484,10479,0.0
23,0,23,0.9050962015078402,5106,0.0
24,0,24,0.42079395329627367,887,0.0
25,0,25,0.5953066449398011,4994,0.0
26,0,26,0.8640703402124736,7899,0.0
27,0,27,0.6636836990028698,5410,591.6678226459771
28,0,28,0.8679385057466302,11010,1536.6764572259417
29,0,29,0.46917415612100966,11447,0.0
30,0,30,0.6095272859713116,223,0.0
31,0,31,0.614876033223948,7547,0.0
32,0,32,0.8256347412432287,2420,0.0
33,0,33,0.627737691523491,5199,0.0
34,0,34,0.6482437046780215,1521,0.0
35,0,35,0.8617462522209582,3699,143.1478638680419
36,0,36,0.9020140929280964,1174,995.8468302619876
37,0,37,0.43682496806565496,185,0.0
38,0,38,0.6684427578673122,10301,0.0
39,0,39,0.4973079098192154,7547,912.3631022899644
40,0,40,0.5616790967872642,955,601.1464313559991
41,0,41,0.9150776365707485,4428,0.0
42,0,42,0.4781129970965296,4428,0.0
43,0,43,0.45993060372756994,4428,0.0
44,0,44,0.9105549756264044,10159,0.0
45,0,45,0.7626579235090799,6500,0.0
46,0,46,0.7590900327285672,5106,0.0
47,0,47,0.7989534340850792,10159,0.0
48,0,48,0.4953256206427992,4994,0.0
49,0,49,0.7711852546850088,4428,0.0
50,0,50,0.4392157712303067,185,0.0
51,0,51,0.8840214133960957,1608,0.0
52,0,52,0.5588433580698912,10914,282.8004233709944
53,0,53,0.9483720407839332,6500,0.0
54,0,54,0.488505072881016,5106,0.0
55,0,55,0.7406910295379379,677,0.0
56,0,56,0.8485151826611178,11010,0.0
57,0,57,0.5304984324070399,5238,0.0
58,0,58,0.6497826666996727,6192,0.0
59,0,59,0.576810076578017,1608,0.0
60,0,60,0.901724021285972,4994,0.0
61,0,61,0.8627840113234095,4428,0.0
62,0,62,0.856246216135563,7899,0.0
63,0,63,0.7932445019077312,8210,0.0
64,0,64,0.7309336676725233,10159,0.0
65,0,65,0.8612261468963054,4428,0.0
66,0,66,0.7206488436778816,8210,0.0
67,0,67,0.6554367358311607,5311,0.0
68,0,68,0.9016478035078356,6500,0.0
69,0,69,0.6371540371757544,185,0.0
70,0,70,0.6363105241952615,4994,0.0
71,0,71,0.6979992752633516,7899,0.0
72,0,72,0.7209487773290844,4994,0.0
73,0,73,0.715678118534324,7899,0.0
74,0,74,0.7360855113639623,8210,0.0
75,0,75,0.6121318536859472,3562,0.0
76,0,76,0.6359519077128887,5199,0.0
77,0,77,0.5627464883895236,4955,585.1641577309201
78,0,78,0.5395768391875613,5106,0.0
79,0,79,0.8607701280564604,185,0.0
80,0,80,0.4897948303274279,1608,0.0
81,0,81,0.646013885216989,10159,0.0
82,0,82,0.5499413493837431,5199,0.0
83,0,83,0.7564617068237596,8002,2260.800806685016
84,0,84,0.7242109999179294,7899,0.0
85,0,85,0.8760984753201714,8210,0.0
86,0,86,0.7901670868462078,4420,2125.0875432810135
87,0,87,0.7868230523592831,1608,0.0
88,0,88,0.561862674402501,4994,302.07266841307865
89,0,89,0.759903969833328,7899,0.0
90,0,90,0.44310916059374866,1521,0.0
91,0,91,0.7271139295772854,1174,0.0
92,0,92,0.8447913490761968,185,0.0
93,0,93,0.47766697664697544,3160,350.078005169009
94,0,94,0.6537601869390345,10159,0.0
95,0,95,0.8089709665824546,10186,290.522204813009
96,0,96,0.7316847985240871,8210,0.0
97,0,97,0.5465096995567807,1174,0.0
98,0,98,0.8392390135083603,1608,0.0
99,0,99,0.5780578201275668,11447,0.0
100,0,100,0.5186245735798183,11447,0.0
101,0,101,0.5283539249513788,8210,0.0
102,0,102,0.5698947103697235,7899,0.0
103,0,103,0.5481220565301917,1174,0.0
104,0,104,0.9162547245314981,185,0.0
105,0,105,0.7735398979818414,4254,0.0
106,0,106,0.7368573497498838,7547,0.0
107,0,107,0.8772891169582961,1521,0.0
108,0,108,0.6296613028304817,5199,0.0
109,0,109,0.7235012821072979,7899,0.0
110,0,110,0.6926019686244775,185,0.0
111,0,111,0.4684393681146346,7899,0.0
112,0,112,0.7166414629954367,5681,0.0
113,0,113,0.5674144925851982,10159,0.0
114,0,114,0.6767594475199936,5199,0.0
115,0,115,0.4867478587771223,1608,0.0
116,0,116,0.4579060776696279,4994,0.0
117,0,117,0.5023110486327498,185,0.0
118,0,118,0.5112714608424993,10186,0.0
119,0,119,0.9081151474723367,5199,0.0
120,0,120,0.8242165012115699,11447,0.0
121,0,121,0.5713409804007993,185,0.0
122,0,122,0.8606575637841047,1521,0.0
