node_index,osm_id,is_stop_only,pos_x,pos_y
0,163409396,FALSE,-84.5233092,38.0658429
1,163409398,FALSE,-84.52549,38.0673543
2,163409400,FALSE,-84.528353,38.069229
3,163409408,FALSE,-84.4433677,38.0210145
4,163409418,FALSE,-84.439484,38.023392
5,163409431,FALSE,-84.5030976,38.0517903
6,163409436,FALSE,-84.5048275,38.0505698
7,163409473,FALSE,-84.438445,37.873364
8,163409531,FALSE,-84.425361,37.886798
9,163409558,FALSE,-84.419971,37.890678
10,163409569,FALSE,-84.51365,37.986165
11,163409578,FALSE,-84.513258,37.986074
12,163409588,FALSE,-84.579249,38.038433
13,163409592,FALSE,-84.57781,38.038298
14,163409618,FALSE,-84.5669806,38.0225159
15,163409620,FALSE,-84.5670172,38.0226317
16,163409646,FALSE,-84.5420795,38.0881409
17,163409648,FALSE,-84.5425375,38.0873689
18,163409650,FALSE,-84.5428921,38.0867824
19,163409653,FALSE,-84.5432687,38.0861595
20,163409658,FALSE,-84.5440072,38.0849476
21,163409667,FALSE,-84.5446346,38.0842644
22,163409690,FALSE,-84.447467,37.995134
23,163409693,FALSE,-84.4460754,37.9951223
24,163409702,FALSE,-84.419915,37.997362
25,163409704,FALSE,-84.419085,37.997746
26,163409716,FALSE,-84.418259,37.99854
27,163409723,FALSE,-84.418175,37.999328
28,163409735,FALSE,-84.418071,38.00012
29,163409751,FALSE,-84.417453,38.000793
30,163409753,FALSE,-84.4170589,38.0010715
31,163409773,FALSE,-84.510514,38.039124
32,163409846,FALSE,-84.567706,38.141429
33,163409848,FALSE,-84.531212,38.052931
34,163409851,FALSE,-84.5313519,38.0525957
35,163409864,FALSE,-84.453963,38.015771
36,163409884,FALSE,-84.4540427,38.0142222
37,163409896,FALSE,-84.528692,38.021449
38,163409905,FALSE,-84.529386,38.021355
39,163409935,FALSE,-84.5328102,38.0227264
40,163410066,FALSE,-84.445688,38.068832
41,163410071,FALSE,-84.445648,38.067855
42,163410131,FALSE,-84.3906809,37.9637416
43,163410144,FALSE,-84.389373,37.961624
44,163410155,FALSE,-84.388893,37.957325
45,163410232,FALSE,-84.45685,38.075421
46,163410234,FALSE,-84.456948,38.075512
47,163410278,FALSE,-84.461207,38.083044
48,163410337,FALSE,-84.416313,38.026952
49,163410351,FALSE,-84.413239,38.022093
50,163410360,FALSE,-84.4128771,38.0215265
